,city,payment,seller,estimated_delivery,state,rating,customer,order
45,UNKNOWN,CREDIT CARD,22.0,2018-02-07,PR,3.5,57755.0,57755.0
46,belo horizonte,credit card,22.0,2018-01-29 12:00:00,mg,4.5,51966.0,51966.0
47,unknown,credit card,1.0,2018-04-13,rj,4.0,47740.0,47740.0
48,SAO PAULO,CREDIT CARD,1.0,2017-02-14,SP,3.0,17671.0,17671.0
49,sao paulo,credit card,3.0,valores em falta,sp,2.0,23268.0,23268.0
50,unknown,credit card,12.0,2017-07-07 12:00:00,rj,4.5,31841.0,31841.0
51,unknown,credit card,1.0,no_info,pr,3.0,24998.0,24998.0
52,sao bernardo do campo,other,3.0,2018-01-24 12:00:00,sp,2.5,24445.0,24445.0
53,sao paulo,credit card,6.0,2018-08-27 12:00:00,sp,1.0,35166.0,35166.0
54,unknown,credit card,5.0,2018-05-02 12:00:00,MG,1.0,28093.0,28093.0
55,rio de janeiro,credit card,10.0,2017-06-19 12:00:00,rj,5.0,25099.0,25099.0
56,unknown,other,12.0,2017-07-10 12:00:00,SP,2.5,33422.0,33422.0
57,unknown,nones,5.0,2018-07-30 12:00:00,sp,1.0,54255.0,54255.0
58,sao paulo,other,20.0,2018-02-22 12:00:00,sp,1.0,26247.0,26247.0
59,unknown,credit card,10.0,2017-11-16,sp,1.0,37116.0,37116.0
60,unknown,other,5.0,2017-09-11,sp,1.0,22229.0,22229.0
61,unknown,other,9.0,2017-12-06 12:00:00,MG,1.0,34624.0,34624.0
62,unknown,other,6.0,2018-09-04,SP,2.0,15690.0,15690.0
63,porto alegre,credit card,13.0,2018-05-07 12:00:00,rs,5.0,15638.0,15638.0
64,SAO PAULO,CREDIT CARD,3.0,2018-08-03,SP,1.5,23284.0,23284.0
65,rio de janeiro,credit card,1.0,2018-04-20 12:00:00,rj,4.5,33809.0,33809.0
66,rio de janeiro,credit card,5.0,2017-10-27 12:00:00,rj,5.0,40730.0,40730.0
67,UNKNOWN,CREDIT CARD,7.0,2018-05-25,SP,N/A,27195.0,27195.0
68,rio de janeiro,credit card,0.0,2017-05-10 12:00:00,rj,4.5,15880.0,15880.0
69,sao paulo,credit card,7.0,2018-04-16 12:00:00,sp,1.5,27762.0,27762.0
70,unknown,other,7.0,2017-07-21 12:00:00,sp,1.5,36938.0,36938.0
71,UBERLANDIA,CREDIT CARD,5.0,VALORES EM FALTA,MG,4.5,62509.0,62509.0
72,unknown,credit card,13.0,2018-03-19 12:00:00,sp,valores em falta,41753.0,41753.0
73,sao paulo,other,2.0,2018-04-03 12:00:00,SP,2.0,28466.0,28466.0
74,unknown,other,6.0,2018-07-26 12:00:00,sp,2.0,38595.0,38595.0
75,rio de janeiro,other,22.0,2018-07-27,RJ,5.0,25006.0,25006.0
76,unknown,credit card,10.0,2018-05-30,RS,1.5,55250.0,55250.0
77,UNKNOWN,CREDIT CARD,10.0,N/A,SP,4.0,11552.0,11552.0
78,unknown,credit card,5.0,2018-07-19,RJ,4.0,42073.0,42073.0
79,SAO PAULO,CREDIT CARD,22.0,2018-01-16 12:00:00,SP,1.0,19670.0,19670.0
80,unknown,other,17.0,2017-08-01 12:00:00,pr,1.0,46687.0,46687.0
81,unknown,credit card,2.0,2018-05-08 12:00:00,sp,1.0,43971.0,43971.0
82,unknown,nan,19.0,2018-03-13 12:00:00,sp,3.0,18901.0,18901.0
83,unknown,credit card,1.0,2017-12-01 12:00:00,MG,1.5,29639.0,29639.0
84,unknown,credit card,5.0,nan,sp,2.0,42247.0,42247.0
85,unknown,credit card,0.0,2018-01-22 12:00:00,no_info,3.0,1718.0,1718.0
86,unknown,credit card,8.0,n/a,sp,2.0,27701.0,27701.0
87,UNKNOWN,CREDIT CARD,16.0,2017-11-27 12:00:00,MG,2.0,41086.0,41086.0
88,unknown,other,22.0,2017-12-11,sp,1.0,62032.0,62032.0
89,sao paulo,credit card,3.0,2017-09-15 12:00:00,sp,4.0,44361.0,44361.0
90,unknown,credit card,7.0,2018-01-12 12:00:00,mg,nan,57669.0,57669.0
91,UNKNOWN,CREDIT CARD,1.0,VALORES EM FALTA,PR,3.0,51885.0,51885.0
92,sao bernardo do campo,credit card,10.0,2017-04-19 12:00:00,sp,5.0,12781.0,12781.0
93,unknown,credit card,10.0,2018-02-15 12:00:00,sp,2.0,11275.0,11275.0
94,unknown,credit card,8.0,2018-05-22,rj,4.5,60166.0,60166.0
95,unknown,credit card,4.0,2017-09-29 12:00:00,RJ,4.5,50955.0,50955.0
96,SAO PAULO,CREDIT CARD,11.0,2018-07-30 12:00:00,SP,3.5,13053.0,13053.0
97,sao paulo,credit card,18.0,2018-08-02 12:00:00,sp,2.0,12734.0,12734.0
98,sao paulo,credit card,3.0,2018-07-05 12:00:00,sp,1.0,11241.0,11241.0
99,nova iguacu,other,5.0,n/a,RJ,2.5,6777.0,6777.0
100,unknown,credit card,5.0,2017-11-27,SP,2.0,33165.0,33165.0
101,sao paulo,credit card,21.0,2017-07-07 12:00:00,n/a,3.0,10047.0,10047.0
102,sao paulo,credit card,1.0,2018-05-03,SP,3.0,28398.0,28398.0
103,NAN,CREDIT CARD,10.0,2018-07-04 12:00:00,NO_INFO,N/A,22812.0,22812.0
104,unknown,credit card,13.0,2018-03-05,SP,3.0,14246.0,14246.0
105,sao paulo,credit card,6.0,2017-12-21 12:00:00,sp,4.5,50923.0,50923.0
106,JUIZ DE FORA,CREDIT CARD,16.0,2018-08-09 12:00:00,MG,4.0,25967.0,25967.0
107,santo andre,valores em falta,8.0,no_info,SP,4.0,49664.0,49664.0
108,unknown,other,15.0,2018-02-08 12:00:00,mg,1.0,21813.0,21813.0
109,unknown,credit card,23.0,2018-01-23 12:00:00,rj,4.5,2315.0,2315.0
110,unknown,credit card,6.0,2018-08-08 12:00:00,rj,4.5,8793.0,8793.0
111,UNKNOWN,CREDIT CARD,5.0,2017-11-03 12:00:00,MG,1.0,28637.0,28637.0
112,niteroi,credit card,8.0,2017-08-11 12:00:00,rj,5.0,11216.0,11216.0
113,UNKNOWN,CREDIT CARD,4.0,2018-05-09 12:00:00,SP,3.5,36273.0,36273.0
114,unknown,credit card,3.0,2018-02-20 12:00:00,valores em falta,3.0,452.0,452.0
115,unknown,other,1.0,valores em falta,sp,1.0,40768.0,40768.0
116,curitiba,other,5.0,2018-06-04 12:00:00,PR,1.0,60352.0,60352.0
117,unknown,credit card,17.0,2017-10-09,sp,3.5,56383.0,56383.0
118,unknown,no_info,16.0,2018-07-03,RS,4.0,26757.0,26757.0
119,sao bernardo do campo,credit card,22.0,no_info,sp,4.5,58482.0,58482.0
120,unknown,credit card,23.0,n/a,mg,2.5,52312.0,52312.0
121,UNKNOWN,N/A,12.0,2017-11-01 12:00:00,SP,1.0,19585.0,19585.0
122,rio de janeiro,credit card,7.0,2018-04-12 12:00:00,RJ,3.0,1514.0,1514.0
123,belo horizonte,credit card,3.0,2018-04-27 12:00:00,mg,1.5,2084.0,2084.0
124,rio de janeiro,valores em falta,0.0,2017-05-10 12:00:00,nan,no_info,15880.0,15880.0
125,unknown,other,12.0,2018-08-14,RS,1.0,46282.0,46282.0
126,UNKNOWN,CREDIT CARD,23.0,2017-08-22,MG,3.5,53659.0,53659.0
127,CAXIAS DO SUL,OTHER,22.0,2017-11-16,RS,2.0,16230.0,16230.0
128,sao paulo,credit card,6.0,nones,sp,2.0,46364.0,46364.0
129,curitiba,other,5.0,2018-06-04 12:00:00,pr,1.0,60352.0,60352.0
130,N/A,VALORES EM FALTA,20.0,NAN,VALORES EM FALTA,NONES,36249.0,36249.0
131,unknown,credit card,22.0,nan,rj,4.5,63173.0,63173.0
132,unknown,credit card,16.0,2017-11-29 12:00:00,sp,3.5,17722.0,17722.0
133,niteroi,credit card,10.0,2017-09-25 12:00:00,rj,5.0,62892.0,62892.0
134,unknown,credit card,12.0,valores em falta,SP,1.0,28233.0,28233.0
135,sao paulo,other,7.0,nan,SP,1.0,16824.0,16824.0
136,UNKNOWN,CREDIT CARD,1.0,2017-05-25,NO_INFO,2.5,9747.0,9747.0
137,unknown,credit card,17.0,valores em falta,sp,4.5,38083.0,38083.0
138,unknown,other,5.0,valores em falta,rs,3.5,19348.0,19348.0
139,curitiba,credit card,23.0,2018-04-26 12:00:00,pr,4.5,62414.0,62414.0
140,uberlandia,credit card,22.0,2017-10-02 12:00:00,MG,1.0,21522.0,21522.0
141,SAO PAULO,CREDIT CARD,16.0,2018-02-15 12:00:00,SP,3.5,54567.0,54567.0
142,sao paulo,credit card,7.0,n/a,sp,2.0,39356.0,39356.0
143,no_info,credit card,12.0,2017-06-08,mg,nan,42255.0,42255.0
144,SAO PAULO,OTHER,6.0,2018-03-29 12:00:00,SP,2.0,28144.0,28144.0
145,campinas,credit card,10.0,2017-08-22,sp,3.5,1225.0,1225.0
146,UNKNOWN,CREDIT CARD,10.0,NO_INFO,MG,1.0,60812.0,60812.0
147,unknown,credit card,17.0,2018-02-02 12:00:00,mg,2.5,14252.0,14252.0
148,juiz de fora,credit card,1.0,n/a,mg,2.5,17285.0,17285.0
149,sao paulo,credit card,2.0,2018-05-18 12:00:00,SP,1.0,37506.0,37506.0
150,SAO PAULO,CREDIT CARD,17.0,2017-12-05,SP,4.5,32182.0,32182.0
151,unknown,credit card,4.0,2017-09-21,sp,3.0,59897.0,59897.0
152,unknown,credit card,14.0,n/a,sp,3.5,17812.0,17812.0
153,belo horizonte,credit card,8.0,2017-07-10,MG,4.5,8366.0,8366.0
154,UNKNOWN,CREDIT CARD,2.0,2018-01-30,SP,1.0,45786.0,45786.0
155,unknown,credit card,11.0,2018-01-09 12:00:00,RS,4.0,8125.0,8125.0
156,unknown,other,10.0,2018-08-06,RS,2.0,46666.0,46666.0
157,unknown,credit card,10.0,no_info,RS,4.0,1506.0,1506.0
158,SAO PAULO,CREDIT CARD,9.0,2018-05-11 12:00:00,SP,2.0,25341.0,25341.0
159,unknown,credit card,21.0,2018-08-16 12:00:00,SP,3.0,12301.0,12301.0
160,rio de janeiro,credit card,1.0,2018-05-08 12:00:00,RJ,5.0,44408.0,44408.0
161,UNKNOWN,CREDIT CARD,4.0,2017-09-29 12:00:00,RJ,4.5,50955.0,50955.0
162,sao paulo,credit card,19.0,2018-03-20 12:00:00,SP,1.5,15341.0,15341.0
163,unknown,credit card,20.0,2017-12-14 12:00:00,sp,3.0,17659.0,17659.0
164,VALORES EM FALTA,NAN,1.0,VALORES EM FALTA,N/A,NONES,23487.0,23487.0
165,unknown,credit card,20.0,2018-04-06,mg,2.0,41557.0,41557.0
166,rio de janeiro,credit card,10.0,2017-03-14,RJ,1.0,7164.0,7164.0
167,unknown,credit card,3.0,2018-08-29 12:00:00,sp,2.0,28871.0,28871.0
168,unknown,other,3.0,2018-01-04 12:00:00,no_info,2.5,50688.0,50688.0
169,unknown,credit card,5.0,2018-03-26,mg,3.5,6577.0,6577.0
170,unknown,credit card,6.0,2017-05-31 12:00:00,MG,3.0,40511.0,40511.0
171,RIO DE JANEIRO,CREDIT CARD,3.0,2018-04-10,RJ,4.5,16146.0,16146.0
172,n/a,nan,17.0,2018-02-26,nones,n/a,45190.0,45190.0
173,belo horizonte,other,7.0,2017-03-23,MG,3.0,47446.0,47446.0
174,unknown,credit card,10.0,2017-12-27,mg,1.0,59335.0,59335.0
175,unknown,credit card,10.0,2017-10-23 12:00:00,sp,1.0,52519.0,52519.0
176,unknown,credit card,12.0,2017-07-07 12:00:00,rj,4.5,31841.0,31841.0
177,belo horizonte,credit card,24.0,nones,mg,5.0,25581.0,25581.0
178,UNKNOWN,CREDIT CARD,10.0,2017-07-11,MG,3.0,51003.0,51003.0
179,sao paulo,nan,5.0,2018-07-25 12:00:00,no_info,no_info,55669.0,55669.0
180,UNKNOWN,CREDIT CARD,15.0,2018-07-03 12:00:00,SP,1.0,292.0,292.0
181,RIO DE JANEIRO,OTHER,22.0,2018-07-27 12:00:00,RJ,4.5,27355.0,27355.0
182,SAO PAULO,CREDIT CARD,7.0,2017-06-28,SP,4.5,29486.0,29486.0
183,PONTA GROSSA,CREDIT CARD,5.0,2018-05-23,PR,2.0,17446.0,17446.0
184,unknown,credit card,7.0,2017-09-01,MG,2.5,32110.0,32110.0
185,juiz de fora,credit card,6.0,2018-03-21 12:00:00,mg,3.0,48893.0,48893.0
186,UNKNOWN,CREDIT CARD,11.0,2017-10-25 12:00:00,SP,3.0,36812.0,36812.0
187,unknown,credit card,14.0,2018-05-30 12:00:00,sp,2.5,56617.0,56617.0
188,belo horizonte,other,10.0,2018-06-04 12:00:00,mg,1.0,6073.0,6073.0
189,PORTO ALEGRE,CREDIT CARD,8.0,2018-08-07,RS,1.0,17565.0,17565.0
190,campinas,valores em falta,7.0,nan,sp,valores em falta,14850.0,14850.0
191,unknown,other,1.0,2018-03-16 12:00:00,sp,1.0,35249.0,35249.0
192,sao paulo,credit card,7.0,2018-06-18 12:00:00,sp,4.5,57475.0,57475.0
193,unknown,other,20.0,2017-08-30,pr,1.0,8598.0,8598.0
194,nan,credit card,20.0,2018-07-25 12:00:00,mg,2.5,7460.0,7460.0
195,unknown,other,1.0,2017-12-29 12:00:00,mg,1.0,24626.0,24626.0
196,UNKNOWN,CREDIT CARD,17.0,2018-04-19 12:00:00,SP,2.5,29633.0,29633.0
197,unknown,other,22.0,nones,sp,2.5,19395.0,19395.0
198,unknown,credit card,11.0,2017-03-20 12:00:00,SP,3.5,39702.0,39702.0
199,valores em falta,nones,23.0,n/a,nan,valores em falta,18278.0,18278.0
200,UNKNOWN,OTHER,14.0,2017-07-12,SP,2.0,14298.0,14298.0
201,UNKNOWN,OTHER,19.0,2017-12-28 12:00:00,MG,1.0,29501.0,29501.0
202,UNKNOWN,CREDIT CARD,13.0,2018-07-12 12:00:00,SP,1.0,56406.0,56406.0
203,UNKNOWN,CREDIT CARD,10.0,2017-06-30,RJ,4.0,55089.0,55089.0
204,sao paulo,credit card,22.0,2018-07-18,sp,2.5,34629.0,34629.0
205,unknown,other,6.0,2018-07-26 12:00:00,sp,2.0,38595.0,38595.0
206,SAO PAULO,CREDIT CARD,24.0,2018-08-17,SP,3.5,61663.0,61663.0
207,unknown,other,0.0,2018-08-14,MG,2.0,37646.0,37646.0
208,unknown,credit card,1.0,no_info,mg,3.5,503.0,503.0
209,unknown,other,19.0,2018-02-23 12:00:00,rs,1.0,470.0,470.0
210,sao paulo,credit card,7.0,valores em falta,sp,3.0,55148.0,55148.0
211,no_info,nones,3.0,nan,n/a,n/a,3672.0,3672.0
212,sao bernardo do campo,credit card,10.0,2018-08-20 12:00:00,sp,4.5,55708.0,55708.0
213,curitiba,credit card,10.0,2018-03-27 12:00:00,PR,1.0,39364.0,39364.0
214,sao bernardo do campo,credit card,21.0,2018-04-18,sp,3.0,38300.0,38300.0
215,BELO HORIZONTE,CREDIT CARD,21.0,2018-03-16 12:00:00,MG,3.5,50021.0,50021.0
216,CAMPINAS,CREDIT CARD,16.0,2018-05-10 12:00:00,SP,3.5,59276.0,59276.0
217,UNKNOWN,CREDIT CARD,21.0,2017-05-11 12:00:00,SP,3.0,44725.0,44725.0
218,UNKNOWN,OTHER,3.0,VALORES EM FALTA,RJ,3.5,1934.0,1934.0
219,rio de janeiro,credit card,5.0,nones,rj,1.0,11085.0,11085.0
220,BELO HORIZONTE,CREDIT CARD,10.0,2018-08-13,MG,3.0,46653.0,46653.0
221,rio de janeiro,credit card,5.0,n/a,RJ,5.0,5597.0,5597.0
222,unknown,other,3.0,2017-03-23,sp,3.0,47156.0,47156.0
223,unknown,credit card,1.0,2018-03-28 12:00:00,SP,1.0,23487.0,23487.0
224,sao paulo,credit card,9.0,2018-08-31 12:00:00,sp,2.0,52769.0,52769.0
225,unknown,credit card,10.0,2017-08-09 12:00:00,mg,2.0,2080.0,2080.0
226,no_info,nan,5.0,nones,valores em falta,nan,18476.0,18476.0
227,unknown,credit card,5.0,2018-07-05,sp,1.0,22672.0,22672.0
228,sao paulo,credit card,1.0,2018-05-03,sp,3.0,28398.0,28398.0
229,porto alegre,credit card,1.0,2018-06-25 12:00:00,rs,5.0,39027.0,39027.0
230,sao paulo,other,3.0,2018-08-14,SP,2.0,11771.0,11771.0
231,belo horizonte,credit card,12.0,2018-07-04 12:00:00,mg,3.5,42827.0,42827.0
232,unknown,credit card,10.0,2018-04-12 12:00:00,SP,2.5,47386.0,47386.0
233,sao paulo,credit card,12.0,2017-12-04 12:00:00,sp,4.5,52041.0,52041.0
234,sao paulo,credit card,19.0,2018-03-20 12:00:00,SP,1.5,15341.0,15341.0
235,unknown,credit card,22.0,2018-04-20 12:00:00,sp,2.0,37892.0,37892.0
236,sao paulo,credit card,12.0,2017-12-28 12:00:00,n/a,2.5,43312.0,43312.0
237,n/a,valores em falta,3.0,2018-08-27,no_info,valores em falta,3814.0,3814.0
238,UNKNOWN,CREDIT CARD,5.0,2017-04-20 12:00:00,SP,1.0,52572.0,52572.0
239,UNKNOWN,OTHER,3.0,VALORES EM FALTA,RJ,4.5,14886.0,14886.0
240,rio de janeiro,other,8.0,2017-12-05 12:00:00,rj,3.5,44630.0,44630.0
241,NONES,NONES,5.0,NAN,NAN,NO_INFO,9933.0,9933.0
242,RIO DE JANEIRO,CREDIT CARD,10.0,2017-03-09 12:00:00,RJ,5.0,5108.0,5108.0
243,sao paulo,nones,6.0,2018-02-14,sp,1.0,20327.0,20327.0
244,unknown,other,1.0,2017-05-05 12:00:00,sp,2.0,38052.0,38052.0
245,curitiba,credit card,3.0,2017-12-29 12:00:00,pr,4.5,49681.0,49681.0
246,unknown,credit card,20.0,2018-07-18 12:00:00,sp,2.0,22269.0,22269.0
247,N/A,CREDIT CARD,16.0,2018-07-25,RJ,4.5,17528.0,17528.0
248,unknown,credit card,9.0,2017-11-03 12:00:00,PR,1.5,46525.0,46525.0
249,niteroi,credit card,12.0,nan,RJ,1.0,32222.0,32222.0
250,sao paulo,other,20.0,2017-03-17 12:00:00,sp,2.0,44463.0,44463.0
251,SAO PAULO,CREDIT CARD,7.0,2017-05-31 12:00:00,SP,NO_INFO,33043.0,33043.0
252,sao paulo,other,4.0,2018-07-23,sp,2.0,32306.0,32306.0
253,n/a,n/a,13.0,nones,nan,n/a,45895.0,45895.0
254,nan,credit card,3.0,nones,rs,n/a,59434.0,59434.0
255,rio de janeiro,credit card,1.0,2018-04-20 12:00:00,rj,4.5,33809.0,33809.0
256,rio de janeiro,credit card,7.0,2017-09-29 12:00:00,RJ,1.0,46210.0,46210.0
257,unknown,credit card,13.0,2018-07-05,mg,2.0,61616.0,61616.0
258,UNKNOWN,CREDIT CARD,20.0,2018-04-05 12:00:00,MG,1.0,36137.0,36137.0
259,UNKNOWN,CREDIT CARD,16.0,2018-04-19 12:00:00,SP,3.5,49351.0,49351.0
260,rio de janeiro,credit card,12.0,2017-06-28 12:00:00,rj,5.0,27914.0,27914.0
261,NITEROI,OTHER,10.0,2018-09-11 12:00:00,RJ,5.0,15700.0,15700.0
262,curitiba,credit card,4.0,2017-08-31 12:00:00,pr,4.0,50646.0,50646.0
263,n/a,credit card,20.0,no_info,nones,2.0,41557.0,41557.0
264,unknown,credit card,9.0,2017-07-05 12:00:00,sp,4.5,3745.0,3745.0
265,unknown,other,6.0,valores em falta,sp,2.0,15690.0,15690.0
266,rio de janeiro,credit card,9.0,nan,rj,5.0,45831.0,45831.0
267,unknown,credit card,13.0,2018-03-29,rj,1.5,44474.0,44474.0
268,UNKNOWN,NONES,3.0,2018-03-14 12:00:00,SP,2.0,53746.0,53746.0
269,NO_INFO,NAN,0.0,N/A,MG,NO_INFO,2396.0,2396.0
270,UNKNOWN,NAN,2.0,2018-08-28 12:00:00,SP,1.0,31376.0,31376.0
271,UNKNOWN,CREDIT CARD,23.0,2017-12-06,SP,3.0,50144.0,50144.0
272,unknown,credit card,2.0,nones,sp,3.0,12542.0,12542.0
273,n/a,nones,12.0,nones,nones,no_info,57563.0,57563.0
274,unknown,credit card,17.0,2017-03-24 12:00:00,mg,1.0,48800.0,48800.0
275,NONES,CREDIT CARD,16.0,2018-01-26,RJ,4.5,27736.0,27736.0
276,SAO PAULO,CREDIT CARD,11.0,2017-09-27 12:00:00,SP,1.0,63145.0,63145.0
277,rio de janeiro,other,10.0,2017-09-26,rj,2.0,62618.0,62618.0
278,nova iguacu,other,1.0,2018-03-12 12:00:00,rj,4.5,37227.0,37227.0
279,belo horizonte,credit card,16.0,2017-06-08,mg,5.0,56668.0,56668.0
280,nan,n/a,11.0,nan,nan,2.0,51603.0,51603.0
281,valores em falta,valores em falta,3.0,nan,n/a,valores em falta,16446.0,16446.0
282,SAO BERNARDO DO CAMPO,CREDIT CARD,9.0,VALORES EM FALTA,SP,1.5,17939.0,17939.0
283,sao paulo,credit card,7.0,2018-06-18 12:00:00,sp,4.5,57475.0,57475.0
284,unknown,other,16.0,2017-12-11 12:00:00,PR,1.0,13457.0,13457.0
285,campinas,credit card,11.0,2017-07-26 12:00:00,SP,3.5,20536.0,20536.0
286,unknown,credit card,7.0,2017-08-01 12:00:00,sp,3.0,40965.0,40965.0
287,unknown,credit card,17.0,2018-02-01 12:00:00,MG,2.0,18357.0,18357.0
288,unknown,other,6.0,2017-06-28,sp,1.0,14967.0,14967.0
289,sao goncalo,credit card,14.0,2018-07-12 12:00:00,rj,1.0,53949.0,53949.0
290,unknown,credit card,8.0,2018-04-25 12:00:00,sp,1.0,39011.0,39011.0
291,unknown,credit card,10.0,2018-02-01,sp,1.0,24754.0,24754.0
292,UNKNOWN,CREDIT CARD,1.0,2017-12-18,MG,3.0,3442.0,3442.0
293,sao paulo,credit card,3.0,2018-04-27 12:00:00,sp,1.0,25041.0,25041.0
294,SAO PAULO,CREDIT CARD,7.0,2018-06-26,SP,1.0,17393.0,17393.0
295,JUIZ DE FORA,OTHER,8.0,2018-06-04 12:00:00,MG,3.5,37621.0,37621.0
296,unknown,credit card,5.0,2017-03-24 12:00:00,sp,4.5,48340.0,48340.0
297,sao paulo,credit card,13.0,no_info,sp,3.5,31437.0,31437.0
298,unknown,credit card,16.0,2018-05-25 12:00:00,sp,1.0,20406.0,20406.0
299,unknown,other,7.0,2018-03-29,sp,1.0,507.0,507.0
300,unknown,credit card,8.0,n/a,SP,2.0,27701.0,27701.0
301,rio de janeiro,credit card,1.0,2018-03-01 12:00:00,RJ,5.0,25290.0,25290.0
302,UNKNOWN,CREDIT CARD,9.0,2018-03-07 12:00:00,SP,2.0,29517.0,29517.0
303,UNKNOWN,CREDIT CARD,10.0,2018-08-31,PR,3.0,60731.0,60731.0
304,unknown,other,7.0,2017-04-20 12:00:00,sp,1.5,3874.0,3874.0
305,unknown,credit card,12.0,2018-02-16,RS,4.5,51901.0,51901.0
306,juiz de fora,credit card,9.0,2018-03-06 12:00:00,MG,no_info,34848.0,34848.0
307,unknown,credit card,16.0,2017-11-29 12:00:00,sp,3.5,17722.0,17722.0
308,unknown,credit card,16.0,2018-03-28,mg,4.5,46796.0,46796.0
309,RIO DE JANEIRO,CREDIT CARD,13.0,2018-08-17 12:00:00,RJ,5.0,56800.0,56800.0
310,nones,other,14.0,2017-04-06 12:00:00,sp,1.0,62768.0,62768.0
311,sao paulo,credit card,0.0,2018-06-01,SP,1.5,47825.0,47825.0
312,sao bernardo do campo,credit card,23.0,2018-04-04 12:00:00,sp,1.0,56322.0,56322.0
313,UNKNOWN,CREDIT CARD,10.0,2018-02-16,SP,2.5,56850.0,56850.0
314,unknown,credit card,17.0,valores em falta,rs,3.5,41138.0,41138.0
315,RIO DE JANEIRO,CREDIT CARD,14.0,2018-08-02 12:00:00,RJ,1.5,28554.0,28554.0
316,unknown,credit card,5.0,no_info,sp,2.5,48594.0,48594.0
317,unknown,credit card,7.0,2017-05-04,rs,4.5,50349.0,50349.0
