,precio,shipping,product,customer,category,seller,order
64,404.88,62.88,9.0,5303.0,health,12.0,5303.0
65,100.0,18.41,4.0,19144.0,fashion,3.0,19144.0
66,NO_INFO,VALORES EM FALTA,4.0,13426.0,FASHION,0.0,13426.0
67,1001.0,61.03 reais,3.0,15700.0,technology,10.0,15700.0
68,28.58,61.16,11.0,35271.0,fashion,6.0,35271.0
69,258.76,47.55,0.0,22286.0,sports,9.0,22286.0
70,111.27,7.56,13.0,2080.0,technology,10.0,2080.0
71,18.1,64.35,16.0,43131.0,sports,1.0,43131.0
72,495.95,29.6,9.0,29633.0,FASHION,17.0,29633.0
73,820.0,23.71,6.0,33623.0,fashion,21.0,33623.0
74,155.97,149.66,0.0,51058.0,fashion,0.0,51058.0
75,128.99,8.37,6.0,47156.0,fashion,3.0,47156.0
76,420.07,39.75,2.0,56800.0,TOYS,13.0,56800.0
77,9.95,6.87,3.0,46282.0,fashion,12.0,46282.0
78,197.7,50.05,12.0,59247.0,sports,17.0,59247.0
79,117.56,32.34,3.0,19387.0,fashion,7.0,19387.0
80,329.22,6.87,12.0,5726.0,TOYS,10.0,5726.0
81,1549.0,45.27,4.0,42154.0,fashion,7.0,42154.0
82,155.5,20.9,0.0,42255.0,sports,12.0,42255.0
83,125.46 REAL,10.55,15.0,2396.0,SPORTS,0.0,2396.0
84,509.99,47.55,4.0,50646.0,technology,4.0,50646.0
85,56.89,227.57,9.0,19351.0,technology,21.0,19351.0
86,820.0,38.66 Real,10.0,35479.0,fashion,0.0,35479.0
87,42.89,50.28,9.0,53950.0,fashion,5.0,53950.0
88,161.0,6.15,0.0,26283.0,FASHION,1.0,26283.0
89,261.0 R$,133.85,1.0,61055.0,toys,22.0,61055.0
90,111.27,47.55,0.0,13457.0,fashion,16.0,13457.0
91,34.08,237.84,11.0,51883.0,fashion,5.0,51883.0
92,579.75,42.48,2.0,38213.0,sports,17.0,38213.0
93,358.99,41.82,4.0,15638.0,sports,13.0,15638.0
94,18.42,32.61,0.0,56210.0,fashion,21.0,56210.0
95,1899.0,6.87 REAIS,3.0,44821.0,FASHION,0.0,44821.0
96,509.99,20.9,16.0,42432.0,sports,10.0,42432.0
97,83.88,70.89,6.0,46128.0,technology,10.0,46128.0
98,23.1,valores em falta,5.0,48800.0,toys,17.0,48800.0
99,NAN,N/A,4.0,16783.0,FASHION,19.0,16783.0
100,159.9 Real,39.95,1.0,35249.0,fashion,1.0,35249.0
101,155.44,21.21,8.0,48340.0,technology,5.0,48340.0
102,329.93 Real,45.05,0.0,8056.0,technology,22.0,8056.0
103,1079.99,13.5,0.0,59897.0,technology,4.0,59897.0
104,71.8,12.59,9.0,18461.0,technology,24.0,18461.0
105,141.4,47.55,2.0,50955.0,toys,4.0,50955.0
106,849.5 real,71.02,12.0,57891.0,health,1.0,57891.0
107,0.85 real brasileiro,nones,16.0,4955.0,sports,1.0,4955.0
108,nones,valores em falta,0.0,55669.0,valores em falta,5.0,55669.0
109,76.9,34.03,13.0,11087.0,health,0.0,11087.0
110,71.8,12.59,4.0,27736.0,HEALTH,16.0,27736.0
111,44.95,62.02,9.0,28233.0,fashion,12.0,28233.0
112,56.89,133.85,1.0,33392.0,fashion,3.0,33392.0
113,24.1,7.52,13.0,47325.0,health,4.0,47325.0
114,113.49,57.21,14.0,11448.0,fashion,3.0,11448.0
115,201.4,14.54,4.0,42547.0,technology,7.0,42547.0
116,564.99,n/a,7.0,6237.0,health,16.0,6237.0
117,nones,14.25,9.0,25581.0,health,24.0,25581.0
118,310.99,29.34,6.0,452.0,technology,3.0,452.0
119,65.06,6.08,4.0,21547.0,health,19.0,21547.0
120,3.5,41.29,1.0,43724.0,fashion,20.0,43724.0
121,189.05,34.17 real brasileiro,1.0,58209.0,toys,10.0,58209.0
122,518.18,89.55,12.0,51968.0,health,3.0,51968.0
123,820.0,38.66 Real,10.0,35479.0,fashion,0.0,35479.0
124,184.65,47.55,9.0,46272.0,toys,5.0,46272.0
125,2130.0,133.52,1.0,42496.0,toys,1.0,42496.0
126,37.88,89.36,11.0,53949.0,fashion,14.0,53949.0
127,44.63,38.63,4.0,61039.0,fashion,3.0,61039.0
128,112.01,35.95 REAIS,0.0,6623.0,FASHION,10.0,6623.0
129,47.6,valores em falta,1.0,39011.0,fashion,8.0,39011.0
130,148.5,2.63 Real brasileiro,0.0,2213.0,technology,7.0,2213.0
131,48.95,8.52,1.0,43932.0,HEALTH,5.0,43932.0
132,106.6,34.7,4.0,55148.0,TECHNOLOGY,7.0,55148.0
133,198.5,62.97 r$,8.0,503.0,health,1.0,503.0
134,49.98,21.98,13.0,36883.0,technology,21.0,36883.0
135,56.89,38.63,14.0,25341.0,FASHION,9.0,25341.0
136,779.9,61.32,13.0,29279.0,TECHNOLOGY,12.0,29279.0
137,11.77 real,110.14,3.0,30566.0,fashion,3.0,30566.0
138,36.5,70.82,0.0,59335.0,fashion,10.0,59335.0
139,NONES,40.66,0.0,51885.0,TECHNOLOGY,1.0,51885.0
140,15.27 r$,34.33 real brasileiro,9.0,25041.0,fashion,3.0,25041.0
141,91.33,70.34 real,4.0,37391.0,technology,1.0,37391.0
142,72.4,14.59,8.0,8351.0,health,10.0,8351.0
143,234.83,48.58,12.0,39409.0,sports,17.0,39409.0
144,1623.9,69.13,3.0,13462.0,TECHNOLOGY,3.0,13462.0
145,56.89,93.14 REAL BRASILEIRO,3.0,8348.0,TECHNOLOGY,20.0,8348.0
146,729.99,47.55,1.0,6577.0,sports,5.0,6577.0
147,1029.99,16.06,5.0,20545.0,technology,8.0,20545.0
148,141.4,6.87,2.0,37646.0,sports,0.0,37646.0
149,188.8,19.2,0.0,20605.0,HEALTH,7.0,20605.0
150,123.49,14.43,9.0,14298.0,no_info,14.0,14298.0
151,17.95,33.25,5.0,9100.0,TOYS,13.0,9100.0
152,95.03,38.84,4.0,48913.0,fashion,12.0,48913.0
153,15.89,34.33,1.0,37267.0,sports,5.0,37267.0
154,236.52,19.86,4.0,54300.0,technology,8.0,54300.0
155,692.0,163.52 REAL BRASILEIRO,4.0,19585.0,FASHION,12.0,19585.0
156,692.0,46.76,12.0,44042.0,health,21.0,44042.0
157,24.1,32.34,10.0,38431.0,FASHION,22.0,38431.0
158,22.95,128.47,14.0,40510.0,fashion,5.0,40510.0
159,95.03,no_info,10.0,45190.0,fashion,17.0,45190.0
160,17.6,44.93,8.0,27855.0,technology,11.0,27855.0
161,34.36,2.75,0.0,61663.0,HEALTH,24.0,61663.0
162,nan,61.32,1.0,14185.0,technology,7.0,14185.0
163,125.46,20.67,6.0,15240.0,SPORTS,17.0,15240.0
164,107.63 real brasileiro,16.67,0.0,11017.0,toys,3.0,11017.0
165,359.5,87.77,1.0,55998.0,fashion,3.0,55998.0
166,42.79,3.83,9.0,57475.0,fashion,7.0,57475.0
167,128.65,22.56,13.0,20268.0,HEALTH,24.0,20268.0
168,194.0,28.61,6.0,11552.0,HEALTH,10.0,11552.0
169,564.99,20.9,8.0,29517.0,TOYS,9.0,29517.0
170,42.89,30.66,17.0,53434.0,toys,20.0,53434.0
171,95.03,50.92,0.0,46673.0,toys,9.0,46673.0
172,209.89 real,63.2,2.0,17585.0,toys,16.0,17585.0
173,395.6,27.98,7.0,27603.0,health,7.0,27603.0
174,223.0,32.34 real,7.0,18901.0,fashion,19.0,18901.0
175,160.75 REAL,15.55,4.0,46498.0,SPORTS,10.0,46498.0
176,49.38,66.93,10.0,38983.0,fashion,1.0,38983.0
177,valores em falta,nan,9.0,46986.0,valores em falta,23.0,46986.0
178,18.76,NONES,0.0,40768.0,NO_INFO,1.0,40768.0
179,nones,n/a,13.0,29571.0,valores em falta,10.0,29571.0
180,1899.0,no_info,9.0,4691.0,sports,7.0,4691.0
181,156.9,30.46 Real,2.0,32465.0,sports,7.0,32465.0
182,48.99,32.34,8.0,22540.0,technology,13.0,22540.0
183,1899.0,18.05,17.0,11534.0,TOYS,10.0,11534.0
184,341.4,55.54,6.0,6033.0,sports,23.0,6033.0
185,518.18,17.38,9.0,45431.0,health,12.0,45431.0
186,124.89,46.36,1.0,54255.0,fashion,5.0,54255.0
187,215.42,13.92,2.0,63030.0,HEALTH,24.0,63030.0
188,159.99 r$,62.6,11.0,1190.0,fashion,5.0,1190.0
189,182.9,36.51 Reais,2.0,53550.0,health,6.0,53550.0
190,34.08,237.84,11.0,51883.0,no_info,5.0,51883.0
191,87.0,30.24,10.0,19801.0,fashion,15.0,19801.0
192,130.9,125.47,6.0,33809.0,technology,1.0,33809.0
193,155.4,92.85,5.0,58506.0,TECHNOLOGY,13.0,58506.0
194,28.82,38.39,14.0,53013.0,fashion,5.0,53013.0
195,109.82,6.08,10.0,12864.0,fashion,1.0,12864.0
196,820.0,55.54,13.0,30683.0,health,22.0,30683.0
197,56.89,50.83,9.0,46986.0,SPORTS,23.0,46986.0
198,N/A,NO_INFO,0.0,52146.0,TOYS,21.0,52146.0
199,509.99,47.55,0.0,53599.0,technology,24.0,53599.0
200,359.86,60.47,2.0,4280.0,technology,1.0,4280.0
201,124.89,33.24,2.0,60352.0,technology,5.0,60352.0
202,65.6,47.54,12.0,45786.0,SPORTS,2.0,45786.0
203,966.9,17.52,1.0,25915.0,health,7.0,25915.0
204,399.2 Real brasileiro,50.15,13.0,40226.0,technology,22.0,40226.0
205,343.0,60.74 Reais,0.0,53826.0,health,22.0,53826.0
206,218.36 REAIS,3.04,0.0,51569.0,N/A,11.0,51569.0
207,34.36,2.75,0.0,61663.0,HEALTH,24.0,61663.0
208,357.0,35.46,1.0,5108.0,TECHNOLOGY,10.0,5108.0
209,56.89 REAIS,82.12 R$,9.0,36137.0,HEALTH,20.0,36137.0
210,159.9,nan,9.0,3814.0,toys,3.0,3814.0
211,212.9 real,26.14,5.0,33505.0,technology,24.0,33505.0
212,61.97,78.2,9.0,7009.0,fashion,21.0,7009.0
213,13.7,23.05 REAL BRASILEIRO,8.0,22229.0,TOYS,5.0,22229.0
214,420.07,77.92,4.0,45165.0,fashion,3.0,45165.0
215,1899.0,6.87 REAIS,3.0,44821.0,FASHION,0.0,44821.0
216,valores em falta,valores em falta,3.0,44821.0,nones,0.0,44821.0
217,311.0,46.13,0.0,3572.0,health,3.0,3572.0
218,509.99,39.68,3.0,15705.0,TECHNOLOGY,7.0,15705.0
219,42.89,0.69,2.0,14371.0,toys,9.0,14371.0
220,231.27,7.27,1.0,19246.0,TECHNOLOGY,11.0,19246.0
221,18.69,7.52,5.0,58532.0,TOYS,18.0,58532.0
222,142.14,65.56,2.0,243.0,toys,19.0,243.0
223,62.83,36.8 Real,3.0,34848.0,fashion,9.0,34848.0
224,17.95,33.91,4.0,13426.0,FASHION,0.0,13426.0
225,78.5,41.87,2.0,2685.0,health,5.0,2685.0
226,1750.0,37.91,0.0,45984.0,health,7.0,45984.0
227,0.85,7.54,0.0,41447.0,fashion,20.0,41447.0
228,679.0,61.3,9.0,49130.0,sports,3.0,49130.0
229,111.27,16.59,16.0,47921.0,sports,3.0,47921.0
230,198.5,9.21,13.0,21141.0,toys,4.0,21141.0
231,56.89 real brasileiro,21.19,2.0,61985.0,sports,10.0,61985.0
232,42.89,52.83,0.0,28554.0,FASHION,14.0,28554.0
233,319.29,339.59,2.0,31462.0,toys,20.0,31462.0
234,23.1,47.92,10.0,35315.0,FASHION,7.0,35315.0
235,820.05,23.71,8.0,23861.0,toys,11.0,23861.0
236,73.02,69.22,15.0,2129.0,sports,5.0,2129.0
237,102.28,42.49 r$,9.0,42630.0,health,12.0,42630.0
238,47.33,32.88,0.0,28093.0,HEALTH,5.0,28093.0
239,820.0,55.54,13.0,30683.0,health,22.0,30683.0
240,nones,nones,10.0,35315.0,valores em falta,7.0,35315.0
241,75.25 reais,38.92,16.0,56552.0,sports,0.0,56552.0
242,89.21 Real brasileiro,38.66,3.0,19272.0,fashion,5.0,19272.0
243,509.99 Real brasileiro,5.88,10.0,32902.0,fashion,6.0,32902.0
244,28.55,38.6,7.0,58804.0,HEALTH,7.0,58804.0
245,100.0,32.8,2.0,28144.0,health,6.0,28144.0
246,nones,no_info,12.0,45895.0,no_info,13.0,45895.0
247,820.0,60.07,9.0,34617.0,technology,5.0,34617.0
248,107.63,35.75,5.0,20813.0,technology,0.0,20813.0
249,395.6,33.9,1.0,29176.0,health,1.0,29176.0
250,137.88,33.9,9.0,45226.0,TOYS,0.0,45226.0
251,959.99,49.52,9.0,56073.0,technology,5.0,56073.0
252,252.99,38.63,2.0,46058.0,technology,7.0,46058.0
253,170.7,30.01,17.0,43882.0,toys,5.0,43882.0
254,4099.99,41.41,16.0,57216.0,sports,7.0,57216.0
255,valores em falta,n/a,10.0,19801.0,fashion,15.0,19801.0
256,820.05,6.15,3.0,56392.0,TECHNOLOGY,10.0,56392.0
257,15.27,150.8,3.0,59065.0,toys,20.0,59065.0
258,167.0,89.73,6.0,1351.0,sports,3.0,1351.0
259,52.0,61.32,7.0,31193.0,fashion,10.0,31193.0
260,109.6,6.08,1.0,18940.0,HEALTH,1.0,18940.0
261,n/a,56.11,6.0,54567.0,valores em falta,16.0,54567.0
262,15.89,34.33,1.0,37267.0,sports,5.0,37267.0
263,44.95,34.82,12.0,15837.0,toys,4.0,15837.0
264,26.77 Real,49.05 Reais,1.0,9273.0,fashion,17.0,9273.0
265,509.99,NONES,6.0,20502.0,NO_INFO,22.0,20502.0
266,181.56,30.66 real brasileiro,13.0,54907.0,toys,1.0,54907.0
267,no_info,valores em falta,5.0,37084.0,nones,10.0,37084.0
268,12.19,73.11,9.0,32222.0,fashion,12.0,32222.0
269,17.6,26.23,11.0,5113.0,fashion,14.0,5113.0
270,108.9,23.6,4.0,12968.0,TECHNOLOGY,16.0,12968.0
271,777.0,23.17,0.0,56850.0,HEALTH,10.0,56850.0
272,175.25,valores em falta,2.0,27355.0,nones,22.0,27355.0
273,1094.04 reais,109.73,9.0,30757.0,health,19.0,30757.0
274,399.2,20.9,11.0,4662.0,FASHION,1.0,4662.0
275,107.63,35.75,5.0,20813.0,technology,0.0,20813.0
276,126.69,47.55,2.0,21207.0,technology,10.0,21207.0
277,83.36,60.07 r$,9.0,54061.0,fashion,17.0,54061.0
278,2130.0 r$,16.59,0.0,55109.0,technology,21.0,55109.0
279,28.78,34.33,3.0,56322.0,fashion,23.0,56322.0
280,26.99,23.6,10.0,20327.0,fashion,6.0,20327.0
281,95.17,23.7,3.0,36175.0,technology,5.0,36175.0
282,820.05,32.34,1.0,50826.0,TECHNOLOGY,16.0,50826.0
283,73.97,32.86,6.0,46653.0,TECHNOLOGY,10.0,46653.0
284,1589.0,38.66 r$,1.0,45344.0,technology,1.0,45344.0
285,99.2 REAL,19.93,5.0,57669.0,TECHNOLOGY,7.0,57669.0
286,220.33,55.54,0.0,44463.0,toys,20.0,44463.0
287,199.6,56.11,13.0,1225.0,sports,10.0,1225.0
288,420.07,78.07,3.0,39702.0,toys,11.0,39702.0
289,692.0,82.01,12.0,63422.0,health,8.0,63422.0
290,18.1 REAL,7.88 R$,13.0,17528.0,TECHNOLOGY,16.0,17528.0
291,95.03 real,4.34,12.0,45058.0,health,1.0,45058.0
292,VALORES EM FALTA,NAN,2.0,31841.0,VALORES EM FALTA,12.0,31841.0
293,89.81,55.54,17.0,51603.0,TOYS,11.0,51603.0
294,692.0,163.52 real brasileiro,4.0,19585.0,fashion,12.0,19585.0
295,95.03,57.81,0.0,52572.0,HEALTH,5.0,52572.0
296,128.99,12.59,5.0,32144.0,technology,10.0,32144.0
297,319.29,21.91,12.0,31226.0,toys,5.0,31226.0
298,161.0,38.63,14.0,47386.0,fashion,10.0,47386.0
299,124.89,46.36,1.0,54255.0,fashion,5.0,54255.0
300,58.1,29.96,4.0,43971.0,technology,2.0,43971.0
301,109.82,77.92,17.0,17671.0,toys,1.0,17671.0
302,65.06,63.2,7.0,28929.0,fashion,14.0,28929.0
303,83.36,47.55,1.0,21522.0,valores em falta,22.0,21522.0
304,399.2,47.55,15.0,25770.0,sports,1.0,25770.0
305,99.35 REAL,46.87,0.0,1659.0,FASHION,1.0,1659.0
306,1299.99,34.29 real,14.0,62414.0,fashion,23.0,62414.0
307,640.0,78.84 REAIS,7.0,15515.0,HEALTH,3.0,15515.0
308,18.04,42.05,0.0,3232.0,FASHION,14.0,3232.0
309,197.7,50.05,12.0,59247.0,sports,17.0,59247.0
310,194.0,20.91,1.0,40543.0,fashion,14.0,40543.0
311,28.82,134.25,4.0,50979.0,fashion,1.0,50979.0
312,1055.9,61.1,8.0,20884.0,HEALTH,19.0,20884.0
313,137.88,47.55,13.0,13542.0,sports,8.0,13542.0
314,109.82,4.52,2.0,35099.0,sports,0.0,35099.0
315,142.0,13.08,9.0,51901.0,technology,12.0,51901.0
316,45.9 reais,123.95,4.0,55908.0,fashion,5.0,55908.0
317,N/A,NONES,1.0,60620.0,VALORES EM FALTA,10.0,60620.0
318,588.5,149.66,1.0,9602.0,technology,3.0,9602.0
319,399.2,67.11,2.0,4198.0,TECHNOLOGY,10.0,4198.0
320,694.65,43.33,5.0,2737.0,TOYS,16.0,2737.0
321,420.07,78.07,3.0,39702.0,toys,11.0,39702.0
322,59.21,47.55,8.0,16230.0,TOYS,22.0,16230.0
323,58.1,46.22,9.0,15341.0,fashion,19.0,15341.0
324,44.63,38.63,4.0,61039.0,fashion,3.0,61039.0
325,3.49,6.87,16.0,60812.0,SPORTS,10.0,60812.0
326,188.8,44.4,1.0,63525.0,technology,0.0,63525.0
327,95.03,60.35 R$,12.0,63145.0,HEALTH,11.0,63145.0
328,1094.04,57.41,1.0,53993.0,fashion,7.0,53993.0
329,91.33,53.36,12.0,49109.0,toys,7.0,49109.0
330,40.85,3.84,2.0,12212.0,technology,1.0,12212.0
331,32.8,20.77,4.0,45760.0,technology,8.0,45760.0
332,22.97,30.66,6.0,59028.0,fashion,17.0,59028.0
333,184.65,47.55,9.0,46272.0,toys,5.0,46272.0
334,640.0,26.52 real brasileiro,5.0,41557.0,toys,20.0,41557.0
335,113.49,9.49,1.0,38300.0,toys,21.0,38300.0
336,413.6,14.61,9.0,6965.0,technology,3.0,6965.0
337,56.89,16.32,3.0,31294.0,fashion,13.0,31294.0
338,NO_INFO,VALORES EM FALTA,4.0,31567.0,NONES,19.0,31567.0
339,VALORES EM FALTA,NO_INFO,12.0,52312.0,VALORES EM FALTA,23.0,52312.0
340,42.3,101.63,7.0,28177.0,fashion,9.0,28177.0
341,26.77,3.81,10.0,16146.0,FASHION,3.0,16146.0
342,109.6,6.08,1.0,18940.0,health,1.0,18940.0
343,182.9 r$,67.11,2.0,51687.0,technology,8.0,51687.0
344,71.8,24.23,9.0,38061.0,toys,10.0,38061.0
345,148.5,12.01,13.0,13644.0,toys,16.0,13644.0
346,128.99,69.21,7.0,16824.0,fashion,7.0,16824.0
347,58.1,321.46 REAL BRASILEIRO,3.0,43409.0,FASHION,3.0,43409.0
348,34.0,n/a,13.0,9414.0,toys,4.0,9414.0
349,969.99,141.36,15.0,38083.0,sports,17.0,38083.0
350,1899.0,20.9,6.0,18256.0,technology,1.0,18256.0
351,148.5,8.32,7.0,55377.0,fashion,14.0,55377.0
352,95.03,89.36,10.0,45190.0,fashion,17.0,45190.0
353,28.82,30.5,4.0,18476.0,fashion,5.0,18476.0
354,319.29,61.74,2.0,49681.0,technology,3.0,49681.0
355,137.88,29.05,9.0,56445.0,SPORTS,4.0,56445.0
356,265.9,47.32,2.0,13497.0,health,1.0,13497.0
357,167.0,32.34,9.0,50066.0,HEALTH,5.0,50066.0
358,128.99,29.07,2.0,6653.0,sports,4.0,6653.0
359,420.07,20.9,9.0,6805.0,toys,10.0,6805.0
360,199.6,56.11,13.0,1225.0,sports,10.0,1225.0
361,236.52,30.69,17.0,39714.0,TOYS,22.0,39714.0
362,820.05,5.59 REAIS,10.0,54240.0,FASHION,15.0,54240.0
363,15.27,56.56,14.0,54406.0,fashion,0.0,54406.0
364,692.0,46.76,1.0,37087.0,fashion,0.0,37087.0
365,1899.0,20.9,6.0,18256.0,technology,1.0,18256.0
366,100.0,32.8,2.0,28144.0,HEALTH,6.0,28144.0
367,55.15,49.27,1.0,61010.0,fashion,1.0,61010.0
368,879.33,7.94,2.0,50128.0,technology,4.0,50128.0
369,34.0,12.22,0.0,28637.0,fashion,5.0,28637.0
370,91.33,31.74,8.0,7827.0,health,4.0,7827.0
371,106.74,15.95,14.0,46106.0,fashion,0.0,46106.0
372,100.0,64.26,14.0,25575.0,N/A,20.0,25575.0
373,19.65,55.8,9.0,36089.0,fashion,22.0,36089.0
374,113.3,91.24,0.0,40059.0,health,11.0,40059.0
375,67.9,38.51 r$,16.0,52769.0,sports,9.0,52769.0
376,95.17,23.7,0.0,17812.0,fashion,14.0,17812.0
377,117.56,21.88,6.0,57865.0,technology,16.0,57865.0
378,161.0,35.07,13.0,29571.0,toys,10.0,29571.0
379,376.0,53.22,10.0,58941.0,fashion,15.0,58941.0
380,56.89,133.85,1.0,33392.0,FASHION,3.0,33392.0
381,4099.99,76.76,5.0,19395.0,TECHNOLOGY,22.0,19395.0
382,14.1,12.28,12.0,47429.0,HEALTH,17.0,47429.0
383,56.89,45.85 R$,0.0,57421.0,technology,3.0,57421.0
384,72.4,14.59,8.0,8351.0,health,10.0,8351.0
385,517.65,8.09,5.0,14001.0,technology,10.0,14001.0
386,211.91,29.41,1.0,17722.0,technology,16.0,17722.0
387,188.8,19.2,0.0,20605.0,HEALTH,7.0,20605.0
388,n/a,valores em falta,16.0,45823.0,sports,3.0,45823.0
389,509.99,22.18 REAL BRASILEIRO,3.0,49351.0,FASHION,16.0,49351.0
390,108.9,23.6,4.0,12968.0,technology,16.0,12968.0
391,1094.04 Reais,109.73,9.0,30757.0,health,19.0,30757.0
392,258.99,valores em falta,9.0,25099.0,valores em falta,10.0,25099.0
393,nan,nones,4.0,14990.0,valores em falta,7.0,14990.0
394,127.77,55.95,6.0,10662.0,health,9.0,10662.0
395,194.0,0.07,6.0,37433.0,health,5.0,37433.0
396,no_info,95.82,17.0,12734.0,no_info,18.0,12734.0
397,820.05,38.66,4.0,53659.0,SPORTS,23.0,53659.0
398,valores em falta,nones,12.0,51968.0,nones,3.0,51968.0
399,399.2,55.54,8.0,4131.0,technology,12.0,4131.0
400,55.83,41.0,6.0,8839.0,HEALTH,3.0,8839.0
401,55.83,14.9,9.0,2221.0,technology,10.0,2221.0
402,127.77,27.2,10.0,17285.0,fashion,1.0,17285.0
403,28.55,38.98,4.0,32516.0,fashion,5.0,32516.0
404,107.63,19.96,1.0,57755.0,TECHNOLOGY,22.0,57755.0
405,383.5,2.94,5.0,55708.0,technology,10.0,55708.0
406,475.0 REAIS,50.28 REAIS,4.0,27195.0,HEALTH,7.0,27195.0
407,144.89,38.66,9.0,33410.0,TOYS,3.0,33410.0
408,95.03,56.65,8.0,55089.0,toys,10.0,55089.0
409,266.55,32.34,3.0,4898.0,fashion,16.0,4898.0
410,389.89,5.24 Real,1.0,60786.0,technology,12.0,60786.0
411,56.89,227.57,8.0,36938.0,toys,7.0,36938.0
412,18.04,20.33 REAIS,9.0,56406.0,FASHION,13.0,56406.0
413,692.0,46.76,1.0,37087.0,fashion,0.0,37087.0
414,37.72,18.4,0.0,60355.0,technology,5.0,60355.0
415,NO_INFO,NAN,13.0,55223.0,NAN,13.0,55223.0
416,95.03,59.62,3.0,23268.0,TOYS,3.0,23268.0
417,438.99 REAL BRASILEIRO,17.14,8.0,54997.0,TECHNOLOGY,11.0,54997.0
418,399.2 R$,11.33,12.0,52312.0,sports,23.0,52312.0
419,257.6,31.33,2.0,57166.0,TECHNOLOGY,22.0,57166.0
420,83.36,13.92 real brasileiro,8.0,42047.0,technology,3.0,42047.0
