;order;product;seller;customer;city;state;category;price;shipping;payment;purchased;delivered;estimated_delivery;rating
40;2315;4;23;2315;unknown;rj;sports;548.35;47.55;credit card;2017-12-26 13:53:29;2018-01-10 20:28:50;1900-01-01;4.5
41;2530;16;3;2530;sao paulo;sp;sports;699.0;38.66;credit card;2017-09-10 12:37:46;2017-09-19 12:34:17;1900-01-01;4.0
42;2534;3;8;2534;unknown;mg;fashion;95.03;49.93;credit card;1900-01-01 00:00:00;2017-11-24 15:48:41;2017-12-06;1.0
43;2641;14;20;2641;unknown;rj;fashion;1590.0;63.79;credit card;2017-07-02 13:02:39;2017-07-14 18:03:53;1900-01-01;4.5
44;2685;2;5;2685;unknown;rs;health;78.5;41.87;other;2018-06-11 23:08:58;2018-06-20 18:54:21;2018-07-12;2.5
45;2737;5;16;2737;unknown;sp;toys;694.65;43.33;credit card;2017-08-16 21:06:21;2017-08-21 19:22:19;2017-09-08;2.5
46;2835;7;3;2835;unknown;rs;fashion;432.0;47.55;other;2017-08-02 16:29:09;2017-08-18 18:35:11;1900-01-01;4.0
47;2840;2;1;2840;belo horizonte;mg;technology;261.0;82.44;credit card;2018-02-14 12:38:50;2018-02-22 20:28:56;1900-01-01;2.0
48;2869;16;22;2869;rio de janeiro;rj;sports;106.74;46.76;credit card;2017-12-03 22:58:18;2017-12-11 19:19:05;1900-01-01;4.5
49;2984;9;7;2984;unknown;rj;sports;132.53;19.38;credit card;2017-09-15 14:45:57;2017-09-25 20:58:47;1900-01-01;4.5
50;3232;0;14;3232;rio de janeiro;rj;fashion;18.04;42.05;credit card;2017-12-21 10:30:18;2017-12-29 19:57:21;1900-01-01;1.5
51;3294;6;23;3294;unknown;sp;fashion;820.0;32.34;credit card;2017-05-18 12:32:16;2017-05-24 16:42:55;2017-06-01;3.0
52;3442;4;1;3442;unknown;mg;technology;1001.0;38.66;credit card;2017-11-24 10:27:33;2017-12-14 18:47:16;2017-12-18;3.0
53;3572;0;3;3572;sao paulo;sp;health;311.0;46.13;credit card;2018-05-09 20:38:13;2018-05-19 10:36:50;1900-01-01;5.0
54;3740;13;20;3740;sao bernardo do campo;sp;toys;44.95;44.33;credit card;2018-03-15 16:53:42;2018-04-02 21:53:07;1900-01-01;1.5
55;3745;6;9;3745;unknown;sp;health;514.0;0;credit card;2017-06-13 21:51:48;2017-06-23 11:02:49;1900-01-01;4.5
56;3814;9;3;3814;0;0;toys;159.9;22.39;valores em falta;2018-08-14 00:20:52;2018-08-20 20:21:45;2018-08-27;valores em falta
57;3874;9;7;3874;unknown;sp;fashion;42.89;55.54;other;2017-03-24 22:17:46;2017-04-03 14:43:58;1900-01-01;1.5
58;3909;17;3;3909;belo horizonte;mg;toys;13.87;59.63;other;2017-10-13 14:45:04;2017-10-24 19:46:11;1900-01-01;1.0
59;3975;4;3;3975;unknown;sp;fashion;419.9;50.28;other;2018-03-07 15:28:38;2018-03-09 19:22:38;2018-03-23;1.0
60;4131;8;12;4131;contagem;mg;technology;399.2;55.54;credit card;2017-04-29 20:51:41;2017-05-04 17:12:10;1900-01-01;4.0
61;4198;2;10;4198;unknown;sp;technology;399.2;67.11;credit card;2017-05-24 21:12:23;2017-06-09 18:42:45;1900-01-01;3.0
62;4269;1;1;4269;unknown;sp;fashion;145.95;34.33;credit card;2018-07-31 12:17:09;2018-08-10 19:30:59;1900-01-01;1.0
63;4280;2;1;4280;unknown;sp;technology;359.86;60.47;credit card;2017-07-30 09:14:52;2017-08-07 21:36:06;1900-01-01;2.5
64;4374;12;8;4374;unknown;sp;toys;403.9;30.66;credit card;1900-01-01 00:00:00;1900-01-01 00:00:00;2017-09-06;2.5
65;4451;6;16;4451;unknown;mg;sports;453.7;4.85;other;1900-01-01 00:00:00;2018-07-09 11:36:54;1900-01-01;3.5
66;4500;13;7;4500;sao paulo;sp;valores em falta;16.89;16.23;credit card;2018-08-06 21:40:05;2018-08-10 16:07:24;2018-08-13;2.0
67;4620;2;3;4620;unknown;0;health;849.5;53.64;credit card;1900-01-01 00:00:00;2018-07-10 19:34:17;2018-08-01;4.5
68;4637;1;8;4637;rio de janeiro;rj;fashion;224.9;104.16;credit card;2017-08-22 17:12:58;2017-08-24 21:05:22;1900-01-01;4.5
69;4662;11;1;4662;belo horizonte;mg;fashion;399.2;20.9;credit card;2017-09-16 17:52:31;2017-09-25 17:04:09;1900-01-01;4.5
70;4691;9;7;4691;sao paulo;sp;sports;1899.0;0;credit card;2018-02-10 17:01:48;2018-02-19 10:33:05;1900-01-01;5.0
71;4718;1;24;4718;unknown;sp;toys;213.0;32.62;credit card;2017-04-10 10:00:25;2017-04-18 12:35:28;1900-01-01;3.0
72;4762;0;3;4762;rio de janeiro;rj;health;74.9;7.86;credit card;2017-10-22 19:17:43;2017-10-25 21:23:35;2017-11-03;5.0
73;4819;9;1;4819;unknown;sp;sports;438.99;49.93;credit card;2017-09-19 18:03:53;1900-01-01 00:00:00;2017-10-10;2.5
74;4821;12;19;4821;unknown;mg;toys;509.99;47.55;other;2017-11-21 11:37:06;2017-11-30 18:33:04;1900-01-01;2.5
75;4898;3;16;4898;sao paulo;sp;fashion;266.55;32.34;other;2018-02-05 14:16:18;2018-02-17 16:27:04;2018-02-21;3.5
76;5108;1;10;5108;rio de janeiro;rj;technology;0;0;credit card;2017-01-31 21:57:33;2017-02-08 14:47:42;1900-01-01;5.0
77;5113;11;14;5113;santa maria;rs;fashion;17.6;26.23;credit card;2017-06-18 21:01:05;2017-06-23 09:26:42;1900-01-01;1.0
78;5266;10;21;5266;unknown;sp;fashion;185.6;21.82;credit card;2018-03-20 16:16:56;2018-03-29 21:42:05;1900-01-01;2.5
79;5303;9;12;5303;unknown;rs;health;404.88;62.88;credit card;2017-10-07 14:59:27;2017-10-18 18:25:07;1900-01-01;4.5
80;5340;0;12;5340;unknown;rs;technology;1158.25;47.55;credit card;2018-01-16 21:24:31;2018-02-05 12:53:24;1900-01-01;4.5
81;5507;1;8;5507;unknown;sp;health;116.6;31.47;other;2017-09-22 10:25:36;2017-10-02 10:43:08;1900-01-01;2.5
82;5597;7;5;5597;rio de janeiro;rj;fashion;135.13;24.08;credit card;2018-08-18 15:26:01;2018-08-24 18:48:40;1900-01-01;5.0
83;5726;12;10;5726;rio de janeiro;rj;toys;329.22;6.87;other;2018-03-07 14:26:32;2018-04-17 16:13:36;2018-04-10;3.5
84;5966;4;5;5966;rio de janeiro;rj;sports;849.5;42.02;credit card;2017-11-23 10:42:29;2017-12-04 21:52:12;1900-01-01;5.0
85;5973;1;21;5973;rio de janeiro;rj;sports;1277.5;51.05;credit card;2017-03-20 09:33:47;2017-03-22 10:07:47;1900-01-01;5.0
86;6033;6;23;6033;sao paulo;sp;sports;341.4;55.54;credit card;2017-02-02 00:09:40;2017-02-08 10:05:10;1900-01-01;5.0
87;6073;3;10;6073;belo horizonte;mg;toys;125.46;120.19;other;2018-05-17 09:14:34;1900-01-01 00:00:00;1900-01-01;1.0
88;6093;1;7;6093;unknown;mg;toys;150.82;72.67;other;2018-02-22 08:34:25;2018-03-23 02:51:53;2018-03-19;1.0
89;6102;13;24;6102;unknown;mg;technology;475.0;15.67;other;2018-03-14 23:49:32;2018-03-27 02:17:03;1900-01-01;3.5
90;6237;7;16;6237;unknown;sp;health;564.99;0;credit card;2018-08-06 17:01:24;2018-08-13 15:47:40;1900-01-01;3.0
91;6389;8;7;6389;juiz de fora;mg;technology;223.51;27.2;credit card;2017-08-28 18:41:07;2017-09-02 12:30:09;1900-01-01;4.5
92;6577;1;5;6577;unknown;mg;sports;729.99;47.55;credit card;2018-03-04 15:26:54;2018-03-21 18:48:50;2018-03-26;3.5
93;6623;0;10;6623;unknown;pr;fashion;112.01;35.95;credit card;2018-03-20 20:48:34;2018-03-27 19:03:13;2018-04-13;1.0
94;6653;2;4;6653;unknown;sp;sports;128.99;29.07;credit card;2017-04-04 09:19:31;2017-04-17 11:23:45;1900-01-01;3.0
95;6777;13;5;6777;nova iguacu;rj;toys;98.44;14.18;0;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01;2.5
96;6805;9;10;6805;sao paulo;sp;toys;420.07;20.9;other;2017-12-19 20:20:53;2018-01-08 21:09:07;1900-01-01;2.0
97;6844;8;22;6844;unknown;sp;toys;2130.0;14.01;other;2017-12-13 14:21:15;2017-12-28 09:05:34;1900-01-01;3.0
98;6929;3;15;6929;unknown;sp;fashion;95.03;59.62;credit card;2017-11-07 19:38:03;2017-11-15 11:27:27;1900-01-01;2.0
99;6965;9;3;6965;unknown;mg;technology;413.6;14.61;credit card;2018-04-12 14:57:23;2018-04-27 00:04:27;1900-01-01;4.5
100;7009;9;21;7009;unknown;sp;fashion;61.97;78.2;credit card;2017-11-25 12:14:42;2017-12-13 09:32:16;2017-12-15;1.0
101;7020;0;10;7020;unknown;rs;sports;692.0;46.76;credit card;2017-08-19 19:02:06;2017-09-06 20:16:09;1900-01-01;4.0
102;7106;3;17;7106;unknown;sp;technology;719.0;140.52;credit card;2017-12-29 16:31:00;2018-01-12 12:16:04;1900-01-01;3.5
103;7164;3;10;7164;rio de janeiro;rj;toys;56.89;97.74;credit card;2017-02-13 21:14:23;2017-02-21 14:21:44;2017-03-14;1.0
104;7321;15;13;7321;porto alegre;rs;sports;28.82;62.33;credit card;2018-04-21 15:42:16;2018-04-30 21:11:46;1900-01-01;1.0
105;7382;11;7;7382;unknown;mg;fashion;367.0;2.46;credit card;2017-04-19 17:57:46;2017-05-12 14:23:08;1900-01-01;2.5
106;7401;4;1;7401;unknown;sp;sports;55.55;17.38;credit card;2017-12-19 15:02:40;2017-12-27 22:07:12;1900-01-01;1.0
107;7458;9;23;7458;unknown;rj;sports;77.08;20.67;other;2017-09-19 10:30:53;2017-09-28 20:25:16;2017-10-19;2.5
108;7460;14;20;7460;belo horizonte;mg;fashion;222.98;69.96;credit card;2018-06-19 17:11:30;2018-06-26 23:28:45;1900-01-01;2.5
109;7595;9;20;7595;unknown;rs;health;344.0;22.0;credit card;2018-07-02 21:10:53;1900-01-01 00:00:00;1900-01-01;4.5
110;7682;2;0;7682;rio de janeiro;rj;health;18.1;64.41;credit card;2017-05-21 16:19:58;2017-05-26 20:49:53;1900-01-01;1.0
111;7776;14;5;7776;unknown;pr;fashion;29.4;47.55;credit card;2018-01-02 11:24:28;2018-02-02 16:12:52;2018-02-01;1.0
112;7778;1;17;7778;0;rs;toys;1164.9;23.71;other;2018-07-29 18:18:15;2018-08-07 22:41:48;1900-01-01;3.0
113;7827;8;4;7827;ponta grossa;pr;health;91.33;31.74;credit card;2017-10-28 10:52:26;2017-11-21 20:54:06;2017-11-28;2.5
114;7975;0;6;7975;niteroi;rj;sports;38.48;18.54;credit card;2018-04-09 23:12:50;2018-04-12 15:05:58;1900-01-01;5.0
115;8056;0;22;8056;unknown;rj;technology;329.93;45.05;credit card;2018-04-13 17:07:24;2018-05-04 18:17:29;2018-05-10;4.5
116;8125;7;11;8125;unknown;rs;health;1099.99;17.91;credit card;2017-12-06 13:26:13;2018-01-10 01:06:20;1900-01-01;4.0
117;8343;2;16;8343;unknown;sp;health;34.08;62.6;credit card;2018-01-22 13:15:26;2018-01-30 19:35:57;2018-02-19;1.0
118;8348;3;20;8348;rio de janeiro;rj;technology;56.89;93.14;credit card;2018-02-04 18:10:42;2018-02-25 20:35:29;2018-03-05;1.0
119;8351;8;10;8351;guarulhos;sp;health;72.4;14.59;other;2018-08-19 13:41:46;2018-08-22 21:18:50;1900-01-01;1.0
120;8366;9;8;8366;belo horizonte;mg;toys;100.0;6.38;credit card;2017-06-12 08:37:43;2017-06-27 18:32:34;2017-07-10;4.5
121;8518;4;6;8518;sao paulo;sp;sports;367.0;32.34;credit card;2017-08-01 13:43:33;2017-08-05 13:24:26;2017-08-14;4.0
122;8572;3;10;8572;rio de janeiro;rj;technology;95.03;56.65;credit card;2017-11-24 10:38:00;2017-12-19 16:48:39;1900-01-01;4.5
123;8598;12;20;8598;unknown;pr;toys;849.98;47.55;other;2017-08-08 22:39:06;2017-08-18 21:33:08;2017-08-30;1.0
124;8653;5;0;8653;unknown;sp;technology;115.7;6.87;credit card;2017-02-07 16:34:23;2017-02-20 12:21:39;1900-01-01;3.0
125;8793;9;6;8793;unknown;rj;technology;71.8;15.24;credit card;2018-07-15 10:24:22;2018-07-28 01:22:26;1900-01-01;4.5
126;8839;6;3;8839;campinas;sp;health;55.83;41.0;credit card;2017-04-28 16:26:51;2017-05-16 17:42:18;2017-05-22;2.0
127;8874;4;6;8874;unknown;sp;sports;48.4;69.37;0;2017-09-24 12:41:40;2017-10-04 21:30:04;1900-01-01;1.0
128;9100;5;13;9100;sao paulo;sp;toys;17.95;33.25;credit card;2018-07-08 21:38:25;2018-07-23 21:32:23;1900-01-01;1.0
129;9155;16;6;9155;pelotas;rs;sports;222.98;61.44;other;2018-03-04 20:09:47;2018-03-13 12:28:43;2018-03-29;4.5
130;9273;1;17;9273;sao paulo;sp;fashion;26.77;49.05;other;2017-08-25 11:16:05;2017-08-30 14:04:26;2017-09-08;1.5
131;9301;6;9;9301;unknown;sp;fashion;145.99;22.0;credit card;2018-03-07 18:09:41;2018-04-11 19:47:24;1900-01-01;1.5
132;9414;13;4;9414;belo horizonte;0;toys;34.0;0;credit card;2017-10-04 15:32:22;2017-10-11 19:06:33;1900-01-01;2.5
133;9422;13;13;9422;unknown;sp;sports;44.63;70.82;credit card;2017-07-04 13:27:14;2017-07-17 20:22:54;1900-01-01;1.5
134;9465;9;0;9465;unknown;sp;toys;328.0;47.55;credit card;2017-09-04 09:28:18;2017-09-13 22:34:10;1900-01-01;2.0
135;9584;4;11;9584;unknown;sp;technology;0.85;11.39;credit card;2018-05-09 08:28:42;2018-05-11 17:57:33;1900-01-01;1.0
136;9602;1;3;9602;unknown;sp;technology;588.5;149.66;credit card;2018-02-15 17:55:55;2018-03-08 19:39:28;2018-03-02;1.0
137;9679;0;19;9679;unknown;sp;toys;820.05;53.29;credit card;2018-03-12 13:50:41;2018-03-21 22:57:43;2018-04-02;2.0
138;9707;5;24;9707;unknown;sp;toys;1890.0;35.73;credit card;2017-12-23 14:48:05;2018-01-08 23:07:37;1900-01-01;2.0
139;9747;12;1;9747;unknown;0;toys;89.1;38.15;credit card;2017-04-27 00:12:53;2017-05-05 13:34:53;2017-05-25;2.5
140;9816;11;5;9816;sao paulo;sp;fashion;91.33;44.68;credit card;2018-08-15 17:49:43;2018-08-20 16:58:40;1900-01-01;3.5
141;9923;1;9;9923;unknown;mg;technology;777.0;0.62;credit card;2018-01-07 18:03:55;2018-01-29 22:25:14;1900-01-01;2.5
142;9939;1;10;9939;sao bernardo do campo;sp;toys;65.06;13.92;credit card;2017-06-07 21:40:50;2017-06-13 12:08:10;1900-01-01;3.5
143;10047;7;21;10047;sao paulo;0;health;149.91;32.4;credit card;2017-06-26 16:32:20;2017-07-03 15:52:55;1900-01-01;3.0
144;10382;7;9;10382;sao paulo;sp;health;2899.0;53.29;credit card;2018-05-07 09:03:48;2018-05-11 20:54:29;1900-01-01;3.0
145;10385;13;17;10385;unknown;sp;valores em falta;820.05;6.08;credit card;1900-01-01 00:00:00;2017-10-19 15:32:12;1900-01-01;3.5
146;10489;10;8;10489;unknown;mg;fashion;399.2;161.82;credit card;2017-05-21 08:00:08;2017-05-24 12:07:35;2017-06-09;2.0
147;10627;14;5;10627;unknown;sp;fashion;223.51;84.65;credit card;2017-10-23 16:26:56;2017-10-26 20:47:57;1900-01-01;1.0
148;10662;6;9;10662;unknown;sp;health;127.77;55.95;credit card;2018-04-04 06:05:53;2018-04-10 17:05:33;1900-01-01;2.0
149;10905;9;9;10905;sao paulo;sp;sports;49.38;33.74;credit card;2017-08-07 09:09:06;2017-08-10 15:55:14;1900-01-01;2.0
150;11000;1;3;11000;rio de janeiro;rj;sports;128.99;10.33;credit card;2018-06-26 17:39:34;2018-07-03 19:21:48;1900-01-01;5.0
151;11006;14;10;11006;curitiba;pr;fashion;145.69;61.32;other;2017-01-05 14:18:03;2017-01-17 16:47:45;2017-02-13;2.0
152;11017;0;3;11017;unknown;mg;toys;107.63;16.67;other;2018-05-09 20:49:26;2018-05-18 20:32:32;2018-06-07;1.0
153;11068;3;5;11068;unknown;pr;fashion;170.7;38.66;credit card;2017-10-19 15:53:20;2017-11-03 19:51:50;1900-01-01;1.0
154;11085;8;5;11085;rio de janeiro;rj;toys;7.59;22.97;credit card;2018-07-07 16:24:14;2018-07-13 19:38:44;1900-01-01;1.0
155;11087;13;0;11087;rio de janeiro;rj;health;76.9;34.03;credit card;2018-05-03 11:50:03;2018-05-16 14:54:03;1900-01-01;5.0
156;11216;4;8;11216;niteroi;rj;health;820.0;38.66;credit card;2017-07-13 17:49:51;2017-07-24 16:42:31;1900-01-01;5.0
157;11241;4;3;11241;sao paulo;sp;valores em falta;53.65;0;credit card;2018-06-13 16:19:00;2018-06-22 18:28:38;1900-01-01;1.0
158;11275;7;10;11275;unknown;sp;fashion;107.63;31.94;credit card;2018-01-19 13:39:35;2018-02-01 17:22:51;1900-01-01;2.0
159;11277;1;13;11277;porto alegre;rs;toys;54.6;82.44;credit card;2017-12-11 18:13:43;2017-12-26 19:07:15;1900-01-01;1.0
160;11290;9;9;11290;unknown;sp;fashion;949.9;19.96;credit card;2017-06-20 11:12:10;2017-06-26 14:22:29;1900-01-01;3.0
161;11448;14;3;11448;unknown;sp;fashion;113.49;57.21;credit card;1900-01-01 00:00:00;2018-08-01 19:10:00;1900-01-01;1.0
162;11451;0;4;11451;sao paulo;sp;toys;107.63;39.07;other;2018-05-26 23:52:17;2018-05-30 15:48:56;2018-06-20;2.5
163;11476;9;1;11476;unknown;sp;technology;403.9;51.45;other;2018-01-12 17:06:53;2018-01-18 15:42:10;1900-01-01;2.0
164;11511;10;12;11511;sao paulo;sp;fashion;420.07;41.41;other;2017-12-19 18:08:44;2017-12-27 16:18:56;1900-01-01;3.0
165;11534;17;10;11534;guarulhos;sp;toys;1899.0;18.05;credit card;2018-04-02 14:54:18;2018-04-04 20:54:42;1900-01-01;3.5
166;11552;6;10;11552;unknown;sp;health;194.0;28.61;credit card;2018-05-16 14:14:03;2018-05-25 00:44:24;1900-01-01;4.0
167;11664;6;10;11664;sao paulo;sp;technology;145.9;72.67;credit card;2017-08-07 09:32:28;2017-08-09 18:13:38;2017-08-18;3.5
168;11665;13;0;11665;unknown;mg;health;68.2;47.55;other;1900-01-01 00:00:00;2017-06-28 14:16:37;1900-01-01;1.0
169;11767;8;17;11767;ponta grossa;pr;health;123.62;6.87;credit card;2018-03-30 00:06:55;2018-04-06 23:26:42;1900-01-01;3.0
170;11771;13;3;11771;sao paulo;sp;toys;394.65;19.65;other;2018-07-26 16:37:10;2018-08-02 19:11:45;2018-08-14;2.0
171;11785;6;5;11785;sao paulo;sp;fashion;16.89;16.23;credit card;2018-08-06 21:40:05;2018-08-10 16:07:24;1900-01-01;2.5
172;11874;0;3;11874;unknown;sp;sports;58.99;12.86;credit card;2018-02-06 11:34:34;2018-02-10 14:33:09;2018-03-09;2.0
173;12212;2;1;12212;unknown;mg;technology;40.85;3.84;credit card;2018-02-20 12:33:05;2018-03-02 01:48:25;2018-03-12;4.0
174;12301;0;21;12301;unknown;sp;sports;549.9;38.58;credit card;2018-08-07 20:19:14;2018-08-10 17:20:53;1900-01-01;3.0
175;12328;9;20;12328;sao paulo;sp;toys;145.69;47.54;credit card;2018-05-13 21:29:49;2018-05-16 21:10:54;1900-01-01;2.0
176;12408;1;7;12408;sao paulo;sp;fashion;15.27;89.55;credit card;2018-07-11 17:17:37;2018-07-13 17:58:42;1900-01-01;1.0
177;12542;13;2;12542;unknown;sp;technology;167.5;2.16;credit card;2018-01-08 14:23:33;2018-01-26 16:33:28;1900-01-01;3.0
178;12734;17;18;12734;sao paulo;sp;0;0;95.82;credit card;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01;2.0
179;12781;3;10;12781;sao bernardo do campo;sp;fashion;399.2;2.46;credit card;2017-03-28 21:22:45;2017-04-03 11:08:00;1900-01-01;5.0
180;12846;8;10;12846;sao paulo;sp;toys;42.89;32.34;credit card;2017-09-26 16:35:42;2017-10-06 18:04:05;1900-01-01;2.0
181;12864;10;1;12864;unknown;sp;fashion;109.82;6.08;credit card;2017-07-05 21:26:30;2017-07-09 15:34:48;1900-01-01;3.0
182;13053;13;11;13053;sao paulo;sp;toys;217.91;113.01;credit card;2018-07-19 21:24:55;2018-07-24 01:58:31;1900-01-01;3.5
183;13096;2;0;13096;unknown;sp;toys;403.9;110.14;other;2017-04-03 09:02:59;2017-04-13 13:10:28;1900-01-01;1.0
184;13105;0;7;13105;rio de janeiro;rj;health;150.82;32.86;other;2018-04-05 12:39:13;2018-04-25 21:11:22;1900-01-01;3.0
185;13294;6;10;13294;sao paulo;sp;fashion;117.56;61.32;credit card;2018-02-01 15:15:52;2018-02-04 18:56:29;2018-02-19;2.5
186;13426;4;0;13426;contagem;mg;fashion;0;valores;other;2018-07-08 18:50:45;2018-07-25 00:27:40;1900-01-01;1.0
187;13435;0;22;13435;unknown;rj;0;125.46;45.0;credit card;2017-10-08 15:59:29;2017-10-19 19:13:29;1900-01-01;3.0
188;13457;0;16;13457;unknown;pr;fashion;111.27;47.55;other;2017-11-15 21:03:17;2017-12-27 21:04:37;1900-01-01;1.0
189;13462;3;3;13462;rio de janeiro;rj;technology;1623.9;69.13;credit card;2018-06-24 10:01:06;2018-07-03 04:28:50;1900-01-01;5.0
190;13475;1;5;13475;unknown;sp;fashion;312.89;42.17;credit card;2018-08-24 10:16:19;2018-08-29 23:47:20;1900-01-01;2.5
191;13497;2;1;13497;sao paulo;sp;health;265.9;47.32;credit card;2018-08-02 18:11:50;2018-08-04 16:54:47;2018-08-08;4.5
192;13542;13;8;13542;0;valores em falta;sports;137.88;47.55;0;2017-08-07 17:26:19;2017-08-14 19:55:00;1900-01-01;1.5
193;13644;13;16;13644;unknown;sp;toys;148.5;12.01;credit card;2018-02-24 13:47:56;2018-03-19 20:04:13;1900-01-01;2.5
