,order,purchased,delivered,shipping,estimated_delivery,product
104,31796.0,2018-08-12 19:56:59,2018-08-21 23:28:51,25.4,2018-08-24 12:00:00,1.0
105,46128.0,2017-12-15 15:09:49,2017-12-29 14:57:05,70.89,2018-01-11 12:00:00,6.0
106,62768.0,2017-03-20 10:44:52,2017-03-27 15:13:15,53.22,2017-04-06 12:00:00,3.0
107,16146.0,2018-03-03 15:38:55,2018-04-16 18:36:31,3.81,2018-04-10,10.0
108,33422.0,2017-06-09 13:52:07,2017-06-19 11:53:36,30.66,2017-07-10 12:00:00,0.0
109,48011.0,2018-05-11 08:15:10,2018-05-16 11:58:53,57.41,nones,9.0
110,34617.0,2018-03-23 16:36:35,2018-03-29 01:29:44,60.07,nan,9.0
111,22960.0,2017-08-31 09:24:23,2017-09-06 16:43:13,20.9,2017-09-21 12:00:00,6.0
112,53013.0,2017-09-22 01:42:48,2017-10-05 21:42:37,38.39,2017-10-27 12:00:00,14.0
113,1279.0,2017-11-24 09:38:22,2017-12-12 18:41:55,36.04,2017-12-14 12:00:00,9.0
114,55908.0,2018-05-09 19:48:46,2018-05-16 23:46:47,123.95,2018-06-01 12:00:00,4.0
115,43505.0,2018-02-23 10:37:40,2018-03-07 00:06:36,20.9,2018-03-16 12:00:00,13.0
116,11665.0,nan,2017-06-28 14:16:37,47.55,2017-07-18 12:00:00,13.0
117,58941.0,2018-08-15 21:45:02,2018-08-17 20:18:20,53.22,2018-08-22 12:00:00,10.0
118,7164.0,2017-02-13 21:14:23,2017-02-21 14:21:44,97.74,2017-03-14,3.0
119,37622.0,2018-05-12 21:50:00,2018-05-18 18:04:10,42.02,nones,5.0
120,12781.0,2017-03-28 21:22:45,2017-04-03 11:08:00,2.46,2017-04-19 12:00:00,3.0
121,35166.0,no_info,2018-08-13 14:50:44,n/a,2018-08-27 12:00:00,14.0
122,18278.0,2018-03-16 15:45:55,2018-03-27 02:33:36,14.76,2018-04-12 12:00:00,12.0
123,39702.0,2017-02-28 12:20:53,2017-03-09 15:48:15,78.07,2017-03-20 12:00:00,3.0
124,24691.0,2018-02-23 11:02:29,2018-02-26 21:04:47,23.6,2018-03-09,14.0
125,53356.0,2017-08-07 01:06:50,2017-08-24 19:53:32,47.55,valores em falta,9.0
126,7106.0,2017-12-29 16:31:00,2018-01-12 12:16:04,140.52,2018-01-18 12:00:00,3.0
127,19827.0,2017-01-29 20:03:45,2017-02-13 14:06:11,22.56,2017-03-15 12:00:00,8.0
128,46653.0,2018-07-26 18:54:47,2018-08-01 18:15:50,32.86,2018-08-13,6.0
129,48347.0,2017-12-09 09:29:19,2017-12-28 20:37:13,20.9,valores em falta,6.0
130,19509.0,2018-04-02 23:09:18,2018-04-11 17:33:02,38.45,2018-04-18 12:00:00,6.0
131,19010.0,2017-07-19 19:43:53,2017-08-04 16:54:59,46.76,2017-08-17 12:00:00,8.0
132,6033.0,2017-02-02 00:09:40,2017-02-08 10:05:10,55.54,2017-02-27 12:00:00,6.0
133,43312.0,2017-12-03 17:07:46,2017-12-10 16:59:30,no_info,2017-12-28 12:00:00,4.0
134,60352.0,2018-05-04 15:59:37,2018-05-14 23:18:34,33.24,2018-06-04 12:00:00,2.0
135,48365.0,2018-06-20 16:44:28,2018-06-26 18:58:22,32.83,valores em falta,6.0
136,57734.0,2018-03-19 16:48:56,NAN,N/A,2018-03-29 12:00:00,0.0
137,36810.0,valores em falta,nan,58.65,nones,8.0
138,29501.0,2017-11-30 22:44:11,2017-12-27 20:10:12,59.82,2017-12-28 12:00:00,9.0
139,1129.0,2018-02-15 15:33:13,2018-03-05 22:51:50,20.9,2018-03-07,8.0
140,38044.0,2018-08-15 19:30:07,2018-08-27 16:55:37,21.31,2018-08-31,8.0
141,44731.0,2018-03-26 11:02:31,2018-04-09 21:53:23,38.39,2018-04-27 12:00:00,2.0
142,48893.0,2018-03-05 12:14:57,2018-03-09 11:42:19,38.23,2018-03-21 12:00:00,13.0
143,15682.0,2017-12-28 23:07:22,2018-01-08 15:05:37,17.38,2018-01-23 12:00:00,9.0
144,44474.0,2018-03-11 23:08:43,2018-04-10 20:43:40,10.39,2018-03-29,14.0
145,54354.0,2018-04-12 16:49:57,2018-04-18 03:04:59,25.12,2018-05-07 12:00:00,9.0
146,18858.0,2017-11-28 11:40:40,2017-12-05 21:23:25,30.66,NO_INFO,10.0
147,20580.0,2018-06-27 15:45:49,2018-07-03 18:56:50,82.12,2018-07-26 12:00:00,11.0
148,12846.0,2017-09-26 16:35:42,2017-10-06 18:04:05,32.34,2017-10-11 12:00:00,8.0
149,25356.0,2018-02-08 16:06:58,2018-03-02 14:21:41,42.38,2018-03-14 12:00:00,6.0
150,13475.0,2018-08-24 10:16:19,2018-08-29 23:47:20,42.17,2018-09-10 12:00:00,1.0
151,60812.0,2018-06-05 20:18:58,2018-06-12 18:22:36,6.87,NO_INFO,16.0
152,44725.0,2017-04-18 16:12:20,2017-04-28 09:44:55,22.75,2017-05-11 12:00:00,5.0
153,2396.0,N/A,VALORES EM FALTA,10.55,N/A,15.0
154,8343.0,2018-01-22 13:15:26,2018-01-30 19:35:57,62.6,2018-02-19,2.0
155,7778.0,2018-07-29 18:18:15,2018-08-07 22:41:48,23.71,2018-08-14 12:00:00,1.0
156,17312.0,2017-10-04 14:14:37,NAN,47.55,2017-10-27 12:00:00,12.0
157,43932.0,2017-07-19 12:39:52,2017-08-04 17:04:20,8.52,nan,1.0
158,60812.0,N/A,NONES,NO_INFO,NO_INFO,16.0
159,54830.0,valores em falta,2018-03-10 00:41:56,32.34 R$,2018-03-07,16.0
160,21207.0,2018-02-06 09:48:11,2018-02-16 13:58:56,47.55,2018-03-07 12:00:00,2.0
161,61985.0,2018-01-09 20:59:52,2018-01-18 23:33:50,21.19,2018-02-02 12:00:00,2.0
162,20641.0,2018-08-19 15:41:39,2018-08-24 14:48:54,1.64,nones,7.0
163,49664.0,2018-01-01 13:17:49,2018-01-05 17:09:10,32.34,no_info,9.0
164,62414.0,nones,2018-04-16 13:26:37,34.29 real,2018-04-26 12:00:00,14.0
165,20727.0,nones,2018-06-29 19:24:41,133.37,2018-07-05 12:00:00,3.0
166,3232.0,2017-12-21 10:30:18,2017-12-29 19:57:21,42.05,2018-01-16 12:00:00,0.0
167,8874.0,2017-09-24 12:41:40,2017-10-04 21:30:04,69.37 Reais,2017-10-20 12:00:00,4.0
168,40768.0,2017-06-29 17:45:24,2017-08-03 16:35:47,3.03,valores em falta,0.0
169,33623.0,2018-08-10 10:11:40,2018-08-15 15:27:49,23.71,2018-08-30 12:00:00,6.0
170,32063.0,2018-01-30 21:08:20,2018-02-17 00:28:00,35.92,2018-03-02 12:00:00,12.0
171,55435.0,2018-05-10 12:06:38,2018-05-18 22:51:56,nones,2018-06-07,2.0
172,28887.0,2017-03-12 14:32:22,2017-03-28 14:15:41,16.93,2017-04-13 12:00:00,3.0
173,38300.0,2018-03-31 17:40:49,2018-04-05 20:21:44,9.49,2018-04-18,1.0
174,19144.0,2018-07-28 08:44:36,2018-08-03 20:11:29,18.41,no_info,4.0
175,16432.0,2017-03-04 15:23:16,2017-03-14 14:34:11,31.0,2017-04-04,9.0
176,55089.0,2017-06-06 18:08:32,2017-06-19 10:09:45,56.65,2017-06-30,8.0
177,3572.0,2018-05-09 20:38:13,2018-05-19 10:36:50,46.13,2018-05-25 12:00:00,0.0
178,57865.0,2017-10-09 22:08:45,2017-10-17 18:27:29,21.88,n/a,6.0
179,1351.0,2017-11-26 11:43:52,2017-12-01 17:38:44,89.73,2017-12-26,6.0
180,57734.0,2018-03-19 16:48:56,2018-03-21 20:02:40,11.39,2018-03-29 12:00:00,0.0
181,21119.0,2017-11-29 10:53:27,2017-12-14 00:46:14,17.44,2017-12-27 12:00:00,4.0
182,29335.0,2017-09-12 23:58:05,2017-09-21 18:14:10,21.98,2017-10-10 12:00:00,13.0
183,46272.0,2017-06-06 11:27:10,2017-06-19 13:05:49,47.55,2017-07-13 12:00:00,9.0
184,50341.0,n/a,nan,nan,2018-06-20 12:00:00,1.0
185,47584.0,2017-03-25 15:33:43,2017-03-30 17:47:57,55.54,2017-04-17 12:00:00,0.0
186,36089.0,2018-03-21 15:26:13,2018-04-03 16:16:35,55.8,2018-04-11,9.0
187,35755.0,2017-07-20 10:25:46,2017-08-01 20:59:56,38.94,nones,3.0
188,49681.0,no_info,no_info,nan,valores em falta,2.0
189,7321.0,2018-04-21 15:42:16,2018-04-30 21:11:46,62.33 Reais,n/a,15.0
190,41040.0,2018-08-03 08:50:46,2018-08-04 12:32:48,52.93,2018-08-10 12:00:00,15.0
191,49351.0,2018-04-02 08:47:49,2018-04-13 13:22:32,22.18 REAL BRASILEIRO,2018-04-19 12:00:00,3.0
192,11241.0,2018-06-13 16:19:00,2018-06-22 18:28:38,61.02,2018-07-05 12:00:00,4.0
193,54255.0,2018-07-15 11:31:23,2018-07-20 17:14:31,46.36,2018-07-30 12:00:00,1.0
194,32401.0,2018-04-08 18:01:46,2018-04-13 15:37:51,37.8 R$,2018-05-02 12:00:00,6.0
195,25006.0,2018-06-15 07:43:54,2018-06-29 18:52:15,12.28,2018-07-27,2.0
196,29290.0,2017-12-21 04:47:03,2017-12-23 16:29:26,58.38,2018-01-10 12:00:00,13.0
197,37646.0,2018-07-26 22:42:46,2018-08-07 15:18:43,6.87,2018-08-14,2.0
198,16693.0,2018-02-05 21:42:18,2018-02-20 18:53:27,nones,2018-03-12 12:00:00,1.0
199,13542.0,2017-08-07 17:26:19,2017-08-14 19:55:00,47.55,2017-08-29 12:00:00,13.0
200,18476.0,2017-07-26 19:45:17,2017-08-11 14:48:29,30.5,2017-08-17,4.0
201,6623.0,2018-03-20 20:48:34,2018-03-27 19:03:13,35.95 REAIS,2018-04-13,0.0
202,1279.0,2017-11-24 09:38:22,2017-12-12 18:41:55,36.04,2017-12-14 12:00:00,9.0
203,58702.0,2018-02-19 14:56:40,2018-03-21 17:34:52,69.21,2018-03-12,3.0
204,44462.0,2017-12-08 09:42:43,2017-12-19 18:43:35,114.9,nan,6.0
205,43505.0,2018-02-23 10:37:40,2018-03-07 00:06:36,20.9,2018-03-16 12:00:00,13.0
206,10662.0,2018-04-04 06:05:53,2018-04-10 17:05:33,55.95,2018-04-20 12:00:00,6.0
207,24445.0,2018-01-10 22:19:01,2018-01-15 18:12:11,30.24,2018-01-24 12:00:00,1.0
208,24998.0,2018-06-06 18:49:33,2018-06-22 15:05:01,6.87,no_info,11.0
209,42939.0,2018-06-24 09:57:00,2018-06-29 20:42:45,14.0,2018-07-26 12:00:00,16.0
210,37267.0,2018-06-12 19:14:34,2018-06-14 19:21:55,34.33,2018-06-21 12:00:00,1.0
211,30241.0,2018-01-08 22:25:26,2018-01-17 21:09:55,13.83 Reais,2018-02-07 12:00:00,2.0
212,9465.0,2017-09-04 09:28:18,2017-09-13 22:34:10,47.55,nan,9.0
213,41025.0,no_info,2018-08-16 13:38:42,nan,nan,9.0
214,54387.0,2017-11-28 18:44:57,2017-12-03 13:24:11,50.83,2017-12-15,6.0
215,24194.0,2017-11-28 12:01:21,2017-12-04 15:55:00,124.54,2017-12-18 12:00:00,8.0
216,59965.0,2017-11-08 20:44:32,2017-11-11 16:05:02,44.16,2017-11-22,17.0
217,15438.0,nan,2018-01-06 12:39:21,20.9,2018-01-04,12.0
218,15069.0,2017-06-06 16:32:42,2017-06-19 20:55:42,25.17,NONES,12.0
219,43524.0,2017-05-09 14:38:00,2017-05-15 17:04:41,44.5,no_info,13.0
220,17565.0,2018-07-17 12:02:11,2018-07-20 20:51:25,82.93,2018-08-07,9.0
221,5266.0,2018-03-20 16:16:56,2018-03-29 21:42:05,21.82,2018-04-06 12:00:00,10.0
222,35814.0,2017-09-13 12:52:01,2017-10-02 17:29:10,46.76,2017-10-09,9.0
223,37227.0,2018-02-16 16:30:42,2018-02-28 21:56:45,44.11 reais,2018-03-12 12:00:00,9.0
224,34624.0,2017-11-16 12:30:55,2017-12-04 19:46:56,214.86,2017-12-06 12:00:00,0.0
225,1212.0,2018-08-17 15:49:08,2018-08-18 16:58:50,46.71,2018-08-27 12:00:00,6.0
226,1351.0,2017-11-26 11:43:52,2017-12-01 17:38:44,89.73,2017-12-26,6.0
227,27241.0,2017-11-20 18:53:16,2017-11-28 20:44:51,38.98,2017-12-13 12:00:00,1.0
228,23966.0,2017-08-27 13:02:35,2017-09-06 21:16:11,41.85,2017-09-26 12:00:00,3.0
229,25356.0,2018-02-08 16:06:58,2018-03-02 14:21:41,42.38,2018-03-14 12:00:00,6.0
230,28093.0,2018-04-04 22:58:03,2018-04-10 19:31:15,32.88,2018-05-02 12:00:00,0.0
231,52146.0,2017-10-05 18:46:15,2017-10-09 18:24:02,38.48,2017-10-23 12:00:00,0.0
232,11785.0,2018-08-06 21:40:05,2018-08-10 16:07:24,16.23,2018-08-13 12:00:00,6.0
233,17396.0,2018-02-14 20:14:12,2018-03-05 11:59:04,17.44,2018-03-09 12:00:00,0.0
234,588.0,2017-11-30 16:08:28,2017-12-03 13:05:16,29.76,2017-12-18 12:00:00,2.0
235,1003.0,2018-01-09 07:51:15,2018-01-17 16:33:01,32.34,2018-01-26 12:00:00,1.0
236,50383.0,valores em falta,2018-01-30 19:33:29,9.21,valores em falta,4.0
237,60166.0,2018-05-02 12:02:02,2018-05-10 18:10:52,69.82,2018-05-22,8.0
238,20319.0,2018-02-09 10:12:42,2018-02-15 12:09:28,47.55,2018-03-09 12:00:00,3.0
239,63525.0,2017-07-07 18:36:58,2017-07-15 13:07:51,44.4,2017-07-31 12:00:00,1.0
240,62032.0,2017-11-22 21:12:44,2017-12-18 15:19:08,82.09 R$,2017-12-11,10.0
241,2080.0,nan,n/a,n/a,n/a,13.0
242,56552.0,2017-07-28 22:38:06,2017-08-12 16:27:41,38.92,2017-08-21,16.0
243,39908.0,2017-11-05 15:57:07,2017-11-18 16:38:43,7.56,2017-11-27,3.0
244,40518.0,2017-03-03 20:39:32,2017-03-13 13:14:59,2.46 REAL BRASILEIRO,2017-03-27,8.0
245,15665.0,2018-06-15 09:40:37,2018-06-21 20:36:37,12.01,2018-07-05 12:00:00,1.0
246,28230.0,2018-04-27 22:38:23,2018-05-04 19:22:28,42.12,nones,6.0
247,5266.0,2018-03-20 16:16:56,2018-03-29 21:42:05,21.82,2018-04-06 12:00:00,10.0
248,42047.0,2017-07-22 22:19:02,2017-07-31 12:33:06,13.92 real brasileiro,2017-08-04 12:00:00,8.0
249,46106.0,2018-06-21 21:02:10,2018-06-26 19:46:35,15.95,2018-07-17,14.0
250,20008.0,2017-11-14 00:52:49,2017-11-24 19:32:25,12.35,2017-12-08 12:00:00,1.0
251,41138.0,2017-08-12 23:12:48,2017-08-21 19:57:21,47.35,valores em falta,0.0
252,51901.0,2018-01-21 17:44:04,2018-01-30 16:35:01,13.08,2018-02-16,9.0
253,31437.0,2018-05-07 10:45:57,2018-05-16 21:22:30,13.51,no_info,1.0
254,3745.0,2017-06-13 21:51:48,2017-06-23 11:02:49,57.3,2017-07-05 12:00:00,6.0
255,37892.0,2018-04-04 09:12:02,2018-04-10 15:38:49,50.28,2018-04-20 12:00:00,6.0
256,58804.0,2017-12-25 19:38:33,2018-01-09 17:29:33,38.6,NONES,7.0
257,57216.0,2017-10-11 08:32:20,2017-10-20 20:52:12,41.41,valores em falta,16.0
258,3442.0,2017-11-24 10:27:33,2017-12-14 18:47:16,38.66,2017-12-18,4.0
259,57891.0,2017-08-17 16:09:34,2017-08-28 19:36:36,71.02,2017-09-06 12:00:00,12.0
260,31899.0,2018-04-23 20:23:04,2018-05-03 18:39:48,25.87,2018-05-17,7.0
261,38494.0,2018-02-06 18:21:30,2018-02-16 18:32:12,170.86,2018-03-13 12:00:00,6.0
262,15880.0,no_info,nan,no_info,2017-05-10 12:00:00,0.0
263,37622.0,2018-05-12 21:50:00,2018-05-18 18:04:10,42.02,NONES,5.0
264,22269.0,2018-06-26 22:06:58,2018-06-30 15:24:27,47.61,2018-07-18 12:00:00,4.0
265,9465.0,2017-09-04 09:28:18,2017-09-13 22:34:10,47.55,nan,9.0
266,2134.0,NONES,2018-08-09 15:03:10,30.72,NAN,16.0
267,42480.0,2018-07-24 16:15:19,2018-08-04 10:54:56,133.37,2018-08-02 12:00:00,1.0
268,37391.0,2017-02-05 18:57:32,2017-02-15 08:07:38,70.34 real,2017-03-03,4.0
269,53746.0,2018-02-22 17:20:43,2018-03-01 01:08:25,26.04,2018-03-14 12:00:00,3.0
270,38052.0,2017-03-23 14:07:06,2017-04-03 13:37:45,13.58,2017-05-05 12:00:00,8.0
271,26175.0,2018-07-09 00:04:47,2018-07-30 15:38:46,125.78,2018-07-25 12:00:00,10.0
272,28144.0,2018-03-12 23:21:44,2018-03-28 14:21:51,32.8,2018-03-29 12:00:00,2.0
273,52459.0,2018-08-13 14:33:18,2018-08-20 23:45:37,63.11 real brasileiro,2018-08-24 12:00:00,0.0
274,34637.0,2018-04-13 09:50:29,2018-04-23 21:09:44,65.59,2018-05-08 12:00:00,14.0
275,35755.0,2017-07-20 10:25:46,2017-08-01 20:59:56,38.94,NONES,3.0
276,37692.0,2018-01-22 18:01:40,2018-02-05 20:53:02,NAN,2018-02-19 12:00:00,10.0
