order,product,seller,customer,city,state,category,price,shipping,payment,purchased,delivered,estimated_delivery,rating
40,6,5,40,unknown,SP,health,109.82,55.54,other,2017-03-30 21:59:17,2017-04-13 16:57:42,2017-04-25 12:00:00,1.0
41,6,9,41,unknown,SP,technology,148.5,27.36,credit card,2018-04-11 20:48:46,2018-04-18 21:50:59,2018-05-04 12:00:00,2.5
42,7,5,42,porto alegre,RS,fashion,31.99,38.26,credit card,2018-08-08 18:52:43,2018-08-20 13:43:44,2018-09-20 12:00:00,1.0
43,3,1,43,unknown,MG,toys,87.9,47.55,credit card,2017-08-30 10:56:22,2017-09-08 17:33:00,2017-09-21 12:00:00,1.5
44,0,17,44,sao paulo,SP,fashion,206.57,29.68,other,2018-05-18 18:52:53,2018-06-04 21:16:48,2018-06-07 12:00:00,2.0
45,6,6,45,unknown,MG,fashion,98.62,54.64,other,2018-02-05 09:06:12,2018-03-22 19:18:52,2018-03-06 12:00:00,1.0
46,1,7,46,unknown,SP,technology,1122.0,20.79,credit card,2018-06-10 20:29:24,2018-06-13 16:03:33,2018-06-29 12:00:00,3.5
47,1,7,47,unknown,MG,sports,368.9,63.39,credit card,2018-02-15 09:19:26,2018-03-12 17:19:32,2018-03-12 12:00:00,3.5
48,12,1,48,unknown,SP,health,10.6,50.43,credit card,2018-03-06 22:09:24,2018-03-14 23:46:30,2018-03-22 12:00:00,1.0
49,2,20,49,unknown,MG,sports,218.98,6.87,credit card,2018-04-29 11:36:05,2018-05-10 21:04:37,2018-05-25 12:00:00,2.0
50,2,9,50,curitiba,PR,technology,403.9,15.77,credit card,2018-07-29 12:47:00,2018-08-03 18:20:55,2018-08-10 12:00:00,4.0
51,10,1,51,sao paulo,SP,fashion,41.1,47.55,credit card,2017-05-07 13:59:55,2017-05-16 13:58:56,2017-05-31 12:00:00,1.0
52,4,1,52,uberlandia,MG,fashion,198.5,76.76,credit card,2017-09-04 14:25:41,2017-09-12 23:54:52,2017-09-21 12:00:00,2.0
53,13,21,53,unknown,SP,sports,17.91,32.34,other,2017-06-23 13:56:25,2017-06-28 12:06:11,2017-07-13 12:00:00,1.0
54,6,16,54,unknown,MG,technology,8.8,70.17,other,2017-05-05 08:44:58,2017-05-15 11:38:04,2017-05-30 12:00:00,1.0
55,9,15,55,porto alegre,RS,sports,43.21,121.95,credit card,2017-04-10 23:29:46,2017-04-20 12:03:14,2017-05-15 12:00:00,1.0
56,10,14,56,unknown,SP,fashion,24.79,13.92,credit card,2017-06-04 12:09:59,2017-06-13 17:13:52,2017-06-20 12:00:00,1.0
57,9,20,57,rio de janeiro,RJ,technology,184.9,52.37,credit card,2017-08-08 13:37:37,2017-08-11 20:11:04,2017-08-23 12:00:00,4.5
58,1,11,58,unknown,RJ,technology,80.75,12.86,other,2018-07-03 11:11:29,2018-07-09 17:06:38,2018-07-27 12:00:00,4.5
59,8,3,59,unknown,SP,technology,509.0,30.66,credit card,2017-07-18 20:52:33,2017-07-24 17:56:30,2017-08-07 12:00:00,3.5
60,2,19,60,unknown,SP,toys,127.77,37.87,credit card,2018-06-28 00:43:34,2018-06-29 20:52:48,2018-07-12 12:00:00,1.0
61,0,9,61,sao bernardo do campo,SP,toys,148.5,67.48,credit card,2017-12-13 23:56:00,2017-12-26 18:29:42,2018-01-09 12:00:00,3.5
62,2,6,62,unknown,SP,health,95.03,57.81,credit card,2017-04-27 00:12:04,2017-05-09 09:55:03,2017-05-26 12:00:00,2.0
63,4,16,63,unknown,SP,sports,15.89,50.28,credit card,2018-07-09 21:31:15,2018-07-13 20:51:09,2018-07-24 12:00:00,1.0
64,1,1,64,sao paulo,SP,sports,849.5,139.18,credit card,2017-11-27 11:05:38,2018-01-22 13:56:53,2017-12-19 12:00:00,1.0
65,4,17,65,unknown,SP,health,49.97,38.82,other,2018-06-20 12:30:41,2018-06-26 22:38:34,2018-07-03 12:00:00,1.0
66,0,10,66,guarulhos,SP,fashion,59.21,32.34,credit card,2017-12-13 23:06:19,2017-12-18 16:43:44,2018-01-05 12:00:00,2.5
67,2,16,67,sao goncalo,RJ,toys,223.51,67.53,credit card,2018-03-15 22:03:50,2018-03-20 21:58:43,2018-03-28 12:00:00,4.5
68,4,16,68,sao paulo,SP,fashion,24.1,32.34,credit card,2018-01-26 17:33:03,2018-02-01 20:29:26,2018-02-09 12:00:00,1.0
69,0,8,69,unknown,MG,toys,42.95,12.28,credit card,2018-08-07 16:45:43,2018-08-10 19:58:43,2018-08-27 12:00:00,1.0
70,14,1,70,curitiba,PR,fashion,145.69,61.32,other,2017-01-05 14:18:03,2017-01-17 16:47:45,2017-02-13 12:00:00,2.0
71,6,14,71,unknown,SP,fashion,28.82,63.11,credit card,2018-04-22 12:13:25,2018-05-02 20:38:44,2018-05-14 12:00:00,1.0
72,9,9,72,unknown,SP,fashion,2799.65,56.27,other,2018-04-20 09:01:16,2018-04-25 01:30:59,2018-05-07 12:00:00,3.5
73,5,3,73,unknown,SP,technology,509.99,17.39,credit card,2018-07-22 17:47:27,2018-07-26 16:21:16,2018-07-31 12:00:00,3.0
74,6,21,74,unknown,MG,fashion,43.48,99.34,credit card,2017-08-02 13:06:10,2017-09-19 15:00:51,2017-08-25 12:00:00,1.0
75,1,3,75,sao paulo,SP,toys,34.72,67.11,credit card,2017-09-19 19:46:11,2017-09-29 20:49:52,2017-10-05 12:00:00,1.5
76,2,1,76,campinas,SP,technology,399.2,38.66,credit card,2017-07-18 17:17:37,2017-07-26 15:52:12,2017-08-09 12:00:00,4.5
77,6,1,77,sao paulo,SP,sports,16.89,21.91,credit card,2018-04-02 12:12:56,2018-04-04 18:13:46,2018-04-26 12:00:00,1.5
78,13,22,78,belo horizonte,MG,technology,50.21,5.59,credit card,2017-06-16 10:33:12,2017-06-21 18:06:29,2017-06-29 12:00:00,4.5
79,1,23,79,sao bernardo do campo,SP,sports,13.1,19.16,credit card,2018-01-15 12:22:25,2018-01-18 16:09:03,2018-01-30 12:00:00,1.0
80,0,5,80,uberlandia,MG,sports,328.0,161.82,credit card,2017-09-15 07:39:51,2017-09-20 22:03:52,2017-10-03 12:00:00,2.5
81,5,16,81,unknown,RS,technology,144.97,47.55,other,2017-11-23 11:42:07,2017-12-16 17:58:49,2017-12-21 12:00:00,3.5
82,3,24,82,rio de janeiro,RJ,toys,31.5,24.99,other,2018-07-19 19:17:20,2018-07-30 16:54:44,2018-08-16 12:00:00,3.0
83,11,8,83,unknown,RS,fashion,57.6,77.45,other,2017-07-13 14:39:29,2017-07-31 18:25:47,2017-08-14 12:00:00,1.5
84,8,10,84,unknown,SP,technology,1298.99,30.66,other,2017-08-11 15:52:07,2017-08-23 11:58:17,2017-08-31 12:00:00,3.0
85,15,21,85,porto alegre,RS,sports,16.2,0.61,credit card,2017-03-26 14:07:21,2017-04-03 13:15:36,2017-04-24 12:00:00,5.0
86,6,10,86,sao paulo,SP,technology,579.75,48.82,credit card,2018-04-15 23:10:48,2018-04-21 00:08:30,2018-05-09 12:00:00,5.0
87,5,16,87,sao bernardo do campo,SP,toys,38.48,32.34,credit card,2017-10-15 04:15:02,2017-10-23 14:37:33,2017-10-26 12:00:00,2.0
88,0,5,88,unknown,MG,health,127.77,42.05,credit card,2017-08-12 22:00:15,2017-08-17 20:47:36,2017-09-05 12:00:00,1.0
89,1,19,89,unknown,RJ,fashion,34.0,58.28,credit card,2017-08-25 23:51:38,2017-09-04 19:09:41,2017-09-19 12:00:00,1.0
90,0,17,90,unknown,SP,health,54.16,38.82,other,2018-08-10 15:08:54,2018-08-31 23:58:27,2018-08-16 12:00:00,1.0
91,1,17,91,sao paulo,SP,health,150.82,24.81,credit card,2018-02-27 11:06:32,2018-03-21 22:38:25,2018-03-21 12:00:00,3.0
92,12,22,92,unknown,PR,sports,114.89,132.15,credit card,2017-05-08 12:15:17,2017-05-19 13:37:46,2017-05-31 12:00:00,1.5
93,3,19,93,unknown,SP,fashion,60.09,80.34,other,2017-07-22 07:12:13,2017-08-03 18:17:48,2017-08-15 12:00:00,1.0
94,3,10,94,unknown,SP,technology,104.4,126.47,credit card,2018-01-10 19:02:16,2018-01-22 23:28:34,2018-02-02 12:00:00,1.0
95,13,9,95,unknown,SP,toys,160.75,52.93,credit card,2018-02-21 18:47:50,2018-02-26 21:28:51,2018-03-07 12:00:00,1.0
96,0,24,96,unknown,SP,technology,56.89,7.54,other,2018-04-03 16:00:49,2018-04-11 18:28:33,2018-04-25 12:00:00,2.0
97,12,10,97,unknown,SP,toys,395.6,32.34,credit card,2017-12-16 13:51:18,2017-12-23 16:21:44,2018-01-05 12:00:00,3.5
98,10,10,98,caxias do sul,RS,fashion,24.79,12.86,credit card,2018-07-03 18:41:20,2018-07-11 18:18:38,2018-07-30 12:00:00,4.5
99,3,17,99,campinas,SP,toys,188.8,51.05,credit card,2018-07-24 18:36:55,2018-07-26 15:38:49,2018-08-01 12:00:00,3.0
100,4,5,100,unknown,MG,fashion,42.15,46.4,credit card,2018-03-21 15:05:19,2018-04-04 14:42:50,2018-04-09 12:00:00,1.0
101,8,21,101,cascavel,PR,toys,116.11,27.57,other,2018-06-18 11:15:23,2018-06-22 18:53:47,2018-07-05 12:00:00,2.0
102,7,17,102,curitiba,PR,fashion,36.5,47.55,credit card,2017-12-11 09:46:54,2018-01-05 20:49:30,2018-01-09 12:00:00,1.0
103,4,16,103,unknown,MG,fashion,97.44,10.85,other,2018-07-25 16:12:07,2018-07-30 17:57:35,2018-08-02 12:00:00,2.0
104,1,20,104,unknown,PR,sports,2799.65,127.41,credit card,2018-08-06 18:16:20,2018-08-10 19:21:51,2018-08-14 12:00:00,2.0
105,8,10,105,guarulhos,SP,health,41.58,12.22,credit card,2017-09-01 18:32:18,2017-09-11 22:41:58,2017-09-26 12:00:00,2.0
106,6,7,106,unknown,SP,technology,132.9,60.07,credit card,2018-04-09 13:11:55,2018-04-11 18:46:31,2018-04-25 12:00:00,2.5
107,12,12,107,unknown,SP,health,41.7,17.38,other,2018-02-01 14:02:19,2018-02-14 13:41:59,2018-02-23 12:00:00,1.0
108,13,3,108,unknown,SP,toys,265.9,67.11,credit card,2017-07-12 13:15:37,2017-07-18 22:44:52,2017-08-01 12:00:00,1.0
109,1,3,109,unknown,PR,fashion,28.82,23.17,credit card,2017-11-25 09:20:17,2017-12-04 22:18:52,2017-12-19 12:00:00,1.5
110,9,7,110,rio de janeiro,RJ,technology,1899.0,12.28,credit card,2018-05-13 12:09:17,2018-05-18 21:27:56,2018-06-18 12:00:00,5.0
111,6,7,111,sao paulo,SP,fashion,453.7,150.8,credit card,2018-04-17 20:21:28,2018-04-26 00:40:52,2018-05-09 12:00:00,4.5
112,0,24,112,unknown,SP,health,367.0,14.65,credit card,2018-08-01 17:03:52,2018-08-03 20:18:48,2018-08-06 12:00:00,2.5
113,13,5,113,belo horizonte,MG,sports,199.96,35.85,credit card,2018-08-19 16:28:17,2018-08-29 01:05:28,2018-09-04 12:00:00,5.0
114,4,16,114,unknown,SP,fashion,1129.34,44.33,credit card,2018-04-29 15:18:48,2018-05-08 16:23:35,2018-05-22 12:00:00,3.0
115,0,20,115,unknown,MG,sports,399.2,47.55,other,2017-07-11 14:08:34,2017-07-26 17:17:49,2017-08-02 12:00:00,2.0
116,1,1,116,sao paulo,SP,fashion,17.91,32.34,other,2017-06-06 12:23:28,2017-06-09 15:17:56,2017-06-27 12:00:00,1.0
117,10,8,117,niteroi,RJ,fashion,21.94,47.55,credit card,2017-09-14 13:24:48,2017-09-25 18:54:37,2017-10-03 12:00:00,1.0
118,2,1,118,niteroi,RJ,health,126.69,20.9,credit card,2017-11-28 18:13:19,2017-12-20 18:39:00,2017-12-19 12:00:00,5.0
119,3,5,119,unknown,SP,fashion,42.89,47.55,credit card,2018-01-22 19:57:33,2018-01-31 19:28:35,2018-02-21 12:00:00,1.0
120,8,17,120,unknown,SP,health,729.99,70.34,credit card,2017-04-02 15:08:45,2017-04-11 12:15:57,2017-04-28 12:00:00,3.5
121,4,2,121,unknown,SP,technology,395.6,11.33,credit card,2017-12-05 20:25:59,2017-12-17 13:57:07,2017-12-28 12:00:00,3.5
122,3,17,122,sao paulo,SP,fashion,27.64,61.32,other,2018-02-01 11:09:31,2018-02-06 21:52:22,2018-02-19 12:00:00,1.0
123,7,14,123,unknown,SP,fashion,178.0,96.55,credit card,2018-08-01 22:58:06,2018-08-09 14:34:58,2018-08-14 12:00:00,1.5
124,9,4,124,niteroi,RJ,technology,46.2,6.87,credit card,2018-04-19 08:19:39,2018-05-03 23:21:49,2018-05-16 12:00:00,5.0
125,1,12,125,duque de caxias,RJ,health,1122.0,29.36,credit card,2018-07-09 16:08:36,2018-07-11 19:37:43,2018-07-23 12:00:00,5.0
126,5,4,126,rio de janeiro,RJ,toys,128.99,12.59,credit card,2017-11-07 15:38:47,2017-11-17 18:14:32,2017-11-28 12:00:00,5.0
127,13,1,127,sao paulo,SP,sports,97.44,30.66,credit card,2017-11-24 23:37:52,2017-12-03 15:10:38,2017-12-14 12:00:00,3.5
128,13,21,128,rio de janeiro,RJ,health,145.95,12.28,credit card,2018-07-25 13:25:22,2018-08-01 18:34:34,2018-08-22 12:00:00,5.0
129,15,1,129,unknown,RJ,sports,4099.99,41.41,credit card,2018-03-03 12:10:51,2018-03-23 03:07:43,2018-03-26 12:00:00,4.5
130,4,12,130,unknown,SP,health,777.0,23.17,other,2018-02-01 08:52:15,2018-02-16 15:35:44,2018-02-23 12:00:00,2.5
131,1,16,131,unknown,RJ,fashion,23.1,31.04,credit card,2017-03-24 21:17:29,2017-04-03 14:57:39,2017-04-25 12:00:00,1.0
132,2,13,132,sao bernardo do campo,SP,sports,517.65,47.81,credit card,2017-11-07 15:01:20,2017-11-13 16:39:05,2017-11-28 12:00:00,4.5
133,1,9,133,unknown,SP,technology,517.65,38.18,credit card,2018-04-15 20:36:20,2018-04-20 15:51:53,2018-05-10 12:00:00,3.0
134,9,13,134,unknown,SP,technology,97.07,13.25,credit card,2018-02-12 14:14:43,2018-02-16 10:22:35,2018-03-01 12:00:00,4.5
135,2,0,135,guarulhos,SP,health,150.82,29.31,other,2018-04-29 22:59:41,2018-05-04 20:28:42,2018-05-17 12:00:00,2.5
136,8,22,136,unknown,SP,health,122.3,29.21,credit card,2018-03-31 11:59:29,2018-04-09 19:08:27,2018-04-23 12:00:00,1.0
137,12,10,137,unknown,SP,health,403.9,25.29,other,2017-11-30 21:12:55,2017-12-06 15:07:33,2017-12-18 12:00:00,2.5
138,4,10,138,unknown,SP,health,97.05,30.66,credit card,2017-05-11 15:10:52,2017-05-22 18:13:38,2017-06-12 12:00:00,2.0
139,5,2,139,sao goncalo,RJ,technology,399.2,20.9,other,2017-12-08 11:56:42,2018-01-05 17:20:28,2018-01-04 12:00:00,4.5
140,1,1,140,sao paulo,SP,fashion,164.98,54.99,credit card,2018-06-26 08:06:50,2018-06-27 13:31:45,2018-07-11 12:00:00,3.5
141,1,23,141,unknown,MG,sports,564.99,38.66,credit card,2017-09-28 17:34:28,2017-10-10 20:02:46,2017-10-24 12:00:00,2.0
142,4,7,142,sao paulo,SP,technology,403.9,30.24,credit card,2018-01-14 12:17:23,2018-01-22 22:42:11,2018-01-30 12:00:00,3.5
143,1,3,143,rio de janeiro,RJ,health,300.0,34.71,credit card,2018-08-11 14:59:32,2018-08-17 23:27:53,2018-08-30 12:00:00,5.0
144,1,0,144,unknown,MG,fashion,269.45,46.26,credit card,2018-07-15 21:00:44,2018-07-25 21:41:16,2018-08-02 12:00:00,2.0
145,9,19,145,unknown,SP,fashion,257.6,61.32,credit card,2017-12-03 02:24:54,2017-12-08 22:26:51,2017-12-20 12:00:00,1.0
146,2,20,146,unknown,SP,toys,170.7,9.54,other,2017-10-18 13:34:48,2017-10-25 16:36:09,2017-11-06 12:00:00,2.0
147,3,6,147,unknown,SP,fashion,257.6,34.33,credit card,2018-05-14 12:05:22,2018-05-23 20:04:19,2018-06-04 12:00:00,2.5
148,11,7,148,niteroi,RJ,fashion,12.02,47.55,credit card,2018-01-05 19:15:37,2018-01-16 20:58:52,2018-02-07 12:00:00,1.0
149,1,5,149,londrina,PR,fashion,75.25,12.0,other,2017-05-28 12:47:03,2017-06-16 10:23:31,2017-06-21 12:00:00,4.5
150,4,3,150,unknown,RS,sports,155.4,11.84,credit card,2017-12-07 08:40:18,2017-12-19 19:14:36,2018-01-11 12:00:00,4.5
151,4,20,151,unknown,SP,fashion,117.56,61.32,credit card,2017-10-16 18:00:07,2017-10-19 19:05:37,2017-10-31 12:00:00,1.0
152,4,10,152,rio de janeiro,RJ,sports,142.14,19.02,other,2018-05-20 17:07:44,2018-06-04 16:46:53,2018-06-22 12:00:00,5.0
153,1,3,153,sao paulo,SP,health,86.4,16.78,credit card,2017-05-05 20:49:15,2017-05-18 11:54:10,2017-06-05 12:00:00,5.0
154,13,7,154,niteroi,RJ,sports,132.7,94.09,other,2017-12-04 15:59:52,2017-12-27 11:38:51,2017-12-29 12:00:00,4.5
155,6,19,155,unknown,SP,fashion,113.49,40.15,credit card,2017-03-15 20:31:34,2017-03-23 16:52:23,2017-04-04 12:00:00,2.0
156,7,14,156,sao paulo,SP,fashion,68.9,33.22,credit card,2017-11-21 18:37:11,2017-11-24 19:21:10,2017-12-01 12:00:00,2.5
157,12,10,157,sao paulo,SP,health,95.03,39.84,credit card,2018-04-08 14:03:56,2018-04-10 20:34:41,2018-04-19 12:00:00,2.5
158,8,6,158,nova iguacu,RJ,technology,419.9,6.87,credit card,2018-06-02 23:40:57,2018-06-11 16:28:36,2018-07-11 12:00:00,5.0
159,1,24,159,unknown,SP,toys,509.99,55.54,credit card,2017-03-25 11:58:44,2017-03-29 19:52:23,2017-04-13 12:00:00,2.0
160,2,6,160,sao paulo,SP,technology,453.7,17.38,credit card,2017-11-14 03:22:33,2017-11-21 13:21:57,2017-12-04 12:00:00,4.0
161,9,9,161,sao paulo,SP,technology,174.47,21.69,credit card,2017-03-30 17:07:08,2017-04-10 15:05:14,2017-04-24 12:00:00,4.5
162,2,13,162,sao paulo,SP,health,889.99,23.6,credit card,2017-12-03 15:45:51,2017-12-07 18:45:44,2018-01-05 12:00:00,4.5
163,3,16,163,rio de janeiro,RJ,fashion,57.6,64.55,other,2018-07-13 09:02:22,2018-08-01 19:07:03,2018-08-20 12:00:00,1.0
164,9,9,164,sao paulo,SP,fashion,518.18,38.63,credit card,2018-04-11 06:46:04,2018-04-12 15:03:09,2018-04-27 12:00:00,4.5
165,3,19,165,sao paulo,SP,fashion,63.6,17.44,credit card,2017-08-06 15:06:19,2017-08-21 19:15:18,2017-09-05 12:00:00,2.0
166,2,7,166,unknown,SP,toys,125.46,37.68,credit card,2017-06-06 23:18:10,2017-06-11 10:33:58,2017-06-20 12:00:00,3.5
167,2,15,167,sao bernardo do campo,SP,sports,1589.0,32.34,credit card,2017-08-20 20:11:55,2017-08-24 21:17:46,2017-09-04 12:00:00,3.0
168,13,17,168,porto alegre,RS,health,538.9,178.33,other,2018-03-12 09:04:37,2018-04-03 22:40:57,2018-04-06 12:00:00,3.0
169,13,20,169,unknown,MG,toys,538.9,27.26,credit card,2018-01-19 01:15:06,2018-01-22 21:38:29,2018-02-09 12:00:00,2.0
170,4,16,170,unknown,RJ,fashion,46.2,110.14,credit card,2017-02-12 21:47:21,2017-02-16 14:54:38,2017-03-14 12:00:00,1.0
171,5,10,171,rio de janeiro,RJ,toys,150.82,42.38,credit card,2018-02-23 12:52:13,2018-04-09 20:04:58,2018-03-20 12:00:00,1.0
172,6,23,172,rio de janeiro,RJ,sports,887.0,25.85,credit card,2017-10-14 21:34:35,2017-10-24 14:03:20,2017-11-07 12:00:00,5.0
173,2,19,173,unknown,SP,toys,26.77,12.64,credit card,2017-11-08 12:41:52,2017-11-21 18:57:38,2017-12-14 12:00:00,2.0
174,1,1,174,rio de janeiro,RJ,fashion,107.63,26.02,credit card,2017-11-24 13:24:54,2017-12-28 20:33:02,2017-12-21 12:00:00,2.0
175,0,0,175,unknown,SP,sports,820.0,61.32,other,2017-07-26 13:18:07,2017-07-28 15:14:24,2017-08-08 12:00:00,2.5
176,16,10,176,unknown,SP,sports,355.9,42.75,credit card,2018-08-29 08:46:11,2018-08-30 21:54:45,2018-09-11 12:00:00,2.5
177,6,17,177,maringa,PR,fashion,128.99,59.45,credit card,2018-05-08 09:03:18,2018-05-14 14:55:19,2018-06-14 12:00:00,3.5
178,13,7,178,unknown,SP,health,42.89,17.52,credit card,2018-08-16 13:22:21,2018-08-24 18:57:37,2018-09-03 12:00:00,2.5
179,13,8,179,unknown,RJ,toys,145.69,47.55,credit card,2017-09-04 15:16:58,2017-09-17 17:14:48,2017-09-25 12:00:00,4.5
180,2,3,180,unknown,RS,sports,144.94,6.15,credit card,2018-04-11 20:41:25,2018-04-24 11:32:10,2018-05-24 12:00:00,4.5
181,4,21,181,rio de janeiro,RJ,fashion,10.16,28.28,credit card,2017-05-03 21:12:22,2017-05-12 14:53:52,2017-05-26 12:00:00,1.5
182,0,4,182,unknown,MG,health,167.0,47.55,credit card,2017-07-17 08:28:02,2017-07-21 21:17:40,2017-08-11 12:00:00,1.0
183,9,12,183,unknown,RS,technology,89.91,6.87,other,2018-07-31 13:52:24,2018-08-07 22:32:47,2018-08-20 12:00:00,3.5
184,10,14,184,rio de janeiro,RJ,fashion,2600.0,2.46,credit card,2017-04-22 21:17:54,2017-05-09 23:32:26,2017-05-29 12:00:00,5.0
185,10,22,185,curitiba,PR,fashion,100.0,37.9,credit card,2018-05-06 22:38:53,2018-05-15 22:18:36,2018-06-01 12:00:00,2.0
186,4,4,186,unknown,RJ,technology,75.9,6.87,credit card,2018-04-11 17:20:17,2018-04-26 21:19:22,2018-05-03 12:00:00,4.5
