ID Cliente,TipoDeCliente,RubroEmpresa,Antiguedad,Edad,Genero,MesesTransaccionados,Encomiendas,Documentos,EncomiendasValor,DocumentosValor,MontoTotal,MesesUltimaTransaccion,ValorAdeudado,NivelDeServicio
26,Persona,,,71.0,Masculino,15,0,0,0,0,0,9,0.0,84.92050278119653
27,Persona,,,44.0,Femenino,24,0,72,0,316872,316872,1,0.0,98.32450030902184
28,Persona,,,71.0,Femenino,6,6,12,36456,51108,87564,1,0.0,98.32450030902184
29,Persona,,,39.0,Masculino,12,12,36,112716,92160,204876,6,0.0,89.94700185413102
30,Persona,,,47.0,Femenino,3,3,3,21279,11928,33207,3,0.0,94.97350092706552
31,Persona,,,71.0,Masculino,23,0,46,0,164312,164312,9,0.0,84.92050278119653
32,Persona,,,77.0,Femenino,5,0,0,0,0,0,2,0.0,96.64900061804367
33,Persona,,,38.0,Masculino,11,11,0,66352,0,66352,7,0.0,88.27150216315286
34,Persona,,,59.0,Femenino,12,0,24,0,78696,78696,1,0.0,98.32450030902184
35,Persona,,,65.0,Femenino,12,12,12,118380,46800,165180,10,0.0,83.24500309021836
36,Persona,,,55.0,Femenino,6,0,6,0,9468,9468,3,0.0,94.97350092706552
37,Persona,,,40.0,Masculino,8,0,0,0,0,0,4,0.0,93.29800123608734
38,Persona,,,77.0,Femenino,5,5,15,49150,40155,89305,1,0.0,98.32450030902184
39,Empresa,Retail,32.0,,,57,54948,57,321061164,197961,321259125,6,0.0,89.94700185413102
40,Persona,,,61.0,Masculino,21,21,42,67599,146286,213885,9,0.0,84.92050278119653
41,Empresa,Retail,41.0,,,51,51204,0,315979884,0,315979884,11,0.0,81.5695033992402
42,Persona,,,42.0,Masculino,1,1,0,2620,0,2620,1,0.0,98.32450030902184
43,Persona,,,73.0,Femenino,14,14,0,29960,0,29960,11,0.0,81.5695033992402
44,Persona,,,31.0,Masculino,15,0,0,0,0,0,6,0.0,89.94700185413102
45,Empresa,Manufactura,50.0,,,60,61740,60,420634620,150900,420785520,5,0.0,91.62250154510919
46,Persona,,,77.0,Femenino,10,10,0,87810,0,87810,1,0.0,98.32450030902184
47,Empresa,Manufactura,3.0,,,45,45630,0,242067150,0,242067150,5,22041424.64537872,91.62250154510919
48,Persona,,,74.0,Femenino,20,0,20,0,36900,36900,10,0.0,83.24500309021836
49,Empresa,Retail,34.0,,,17,17306,0,64637910,0,64637910,12,0.0,79.89400370826203
50,Persona,,,56.0,Femenino,20,0,20,0,47240,47240,10,0.0,83.24500309021836
51,Persona,,,23.0,Masculino,18,0,0,0,0,0,6,0.0,89.94700185413102
52,Persona,,,20.0,Femenino,15,0,15,0,28530,28530,7,0.0,88.27150216315286
53,Persona,,,20.0,Femenino,6,6,0,55992,0,55992,5,0.0,91.62250154510919
54,Persona,,,50.0,Masculino,10,30,0,97980,0,97980,7,0.0,88.27150216315286
55,Empresa,Retail,20.0,,,45,43785,90,435003975,361260,435365235,6,0.0,89.94700185413102
56,Persona,,,56.0,Femenino,3,0,6,0,10254,10254,2,0.0,96.64900061804367
57,Persona,,,49.0,Femenino,5,10,5,89640,20190,109830,4,0.0,93.29800123608734
58,Empresa,Retail,43.0,,,52,55484,0,480879828,0,480879828,5,0.0,91.62250154510919
59,Persona,,,23.0,Femenino,17,0,17,0,30090,30090,6,0.0,89.94700185413102
60,Empresa,Retail,15.0,,,48,49824,0,460274112,0,460274112,12,0.0,79.89400370826203
61,Persona,,,78.0,Femenino,6,0,0,0,0,0,6,0.0,89.94700185413102
62,Persona,,,21.0,Masculino,12,24,36,60984,108072,169056,2,0.0,96.64900061804367
63,Persona,,,75.0,Femenino,15,0,45,0,90855,90855,5,0.0,91.62250154510919
64,Persona,,,41.0,Masculino,3,0,12,0,28044,28044,3,0.0,94.97350092706552
65,Persona,,,78.0,Femenino,1,0,2,0,3744,3744,1,0.0,98.32450030902184
66,Persona,,,52.0,Femenino,22,22,0,69014,0,69014,6,0.0,89.94700185413102
67,Persona,,,44.0,Femenino,1,0,1,0,1870,1870,1,0.0,98.32450030902184
68,Persona,,,20.0,Masculino,21,21,42,72786,101262,174048,3,0.0,94.97350092706552
69,Persona,,,29.0,Masculino,3,3,0,10005,0,10005,2,0.0,96.64900061804367
70,Persona,,,58.0,Femenino,11,11,0,107118,0,107118,11,0.0,81.5695033992402
71,Persona,,,60.0,Masculino,24,24,24,110928,42336,153264,9,0.0,84.92050278119653
72,Persona,,,60.0,Masculino,24,48,72,408144,311472,719616,8,0.0,86.59600247217469
73,Persona,,,35.0,Femenino,18,18,0,37836,0,37836,8,0.0,86.59600247217469
74,Empresa,Retail,13.0,,,47,46624,0,413181888,0,413181888,2,0.0,96.64900061804367
75,Empresa,Retail,27.0,,,40,41360,80,340186000,133520,340319520,12,0.0,79.89400370826203
76,Empresa,Retail,22.0,,,27,25461,27,223471197,67608,223538805,11,0.0,81.5695033992402
77,Persona,,,42.0,Masculino,7,7,7,19971,25662,45633,4,0.0,93.29800123608734
78,Empresa,Retail,24.0,,,17,17935,51,75129715,89607,75219322,10,0.0,83.24500309021836
79,Persona,,,27.0,Masculino,15,15,0,60735,0,60735,12,0.0,79.89400370826203
80,Persona,,,39.0,Masculino,22,0,22,0,82742,82742,8,0.0,86.59600247217469
81,Persona,,,64.0,Femenino,9,0,27,0,66609,66609,5,0.0,91.62250154510919
82,Persona,,,73.0,Femenino,14,14,14,128772,39592,168364,8,0.0,86.59600247217469
83,Empresa,Servicios Financieros,10.0,,,39,14157,8112,34613865,32285760,66899625,7,9662740.429826625,88.27150216315286
84,Persona,,,70.0,Femenino,5,10,0,23380,0,23380,3,0.0,94.97350092706552
85,Persona,,,62.0,Masculino,3,3,0,28830,0,28830,2,0.0,96.64900061804367
86,Persona,,,52.0,Femenino,22,66,22,597960,34100,632060,12,0.0,79.89400370826203
87,Persona,,,54.0,Femenino,18,36,18,309780,29808,339588,1,0.0,98.32450030902184
88,Persona,,,53.0,Femenino,11,0,22,0,81862,81862,10,0.0,83.24500309021836
89,Empresa,Manufactura,34.0,,,33,31944,0,126306576,0,126306576,7,0.0,88.27150216315286
90,Persona,,,47.0,Masculino,8,0,0,0,0,0,1,0.0,98.32450030902184
91,Persona,,,58.0,Masculino,13,26,13,254930,46397,301327,5,0.0,91.62250154510919
92,Persona,,,48.0,Masculino,22,0,0,0,0,0,11,0.0,81.5695033992402
93,Persona,,,64.0,Masculino,20,0,0,0,0,0,3,0.0,94.97350092706552
94,Persona,,,31.0,Femenino,2,0,4,0,13124,13124,1,0.0,98.32450030902184
95,Empresa,Retail,6.0,,,45,48240,135,329913360,427005,330340365,10,29478024.110180195,83.24500309021836
96,Persona,,,25.0,Femenino,2,0,2,0,4096,4096,1,0.0,98.32450030902184
97,Persona,,,70.0,Femenino,2,2,4,10758,17952,28710,2,0.0,96.64900061804367
98,Persona,,,47.0,Masculino,20,0,20,0,30180,30180,10,0.0,83.24500309021836
99,Persona,,,49.0,Masculino,6,18,6,82422,20454,102876,2,0.0,96.64900061804367
100,Persona,,,60.0,Masculino,5,10,15,64510,60570,125080,3,0.0,94.97350092706552
101,Persona,,,33.0,Femenino,4,4,4,19956,10436,30392,3,0.0,94.97350092706552
102,Persona,,,33.0,Masculino,5,5,5,34830,14630,49460,2,0.0,96.64900061804367
103,Persona,,,53.0,Masculino,18,36,36,221256,65376,286632,2,0.0,96.64900061804367
104,Persona,,,34.0,Femenino,17,17,0,161279,0,161279,10,0.0,83.24500309021836
105,Persona,,,24.0,Femenino,23,23,23,186001,92184,278185,4,0.0,93.29800123608734
106,Persona,,,39.0,Masculino,18,18,0,51948,0,51948,9,0.0,84.92050278119653
107,Persona,,,41.0,Femenino,5,5,15,35850,33450,69300,2,0.0,96.64900061804367
108,Empresa,Retail,47.0,,,46,48438,138,109566756,252954,109819710,8,0.0,86.59600247217469
109,Persona,,,57.0,Masculino,4,8,4,44344,7892,52236,1,0.0,98.32450030902184
110,Empresa,Manufactura,18.0,,,22,21956,0,160015328,0,160015328,8,0.0,86.59600247217469
111,Empresa,Retail,48.0,,,57,59451,0,578636583,0,578636583,6,0.0,89.94700185413102
112,Persona,,,34.0,Masculino,11,0,22,0,98912,98912,8,0.0,86.59600247217469
113,Persona,,,65.0,Masculino,13,0,39,0,120705,120705,9,0.0,84.92050278119653
114,Persona,,,38.0,Femenino,16,0,64,0,253504,253504,2,0.0,96.64900061804367
115,Persona,,,23.0,Masculino,21,21,21,83958,41370,125328,3,0.0,94.97350092706552
116,Persona,,,74.0,Femenino,4,0,0,0,0,0,1,0.0,98.32450030902184
117,Empresa,Manufactura,20.0,,,40,39240,80,209620080,184160,209804240,2,0.0,96.64900061804367
118,Empresa,Manufactura,40.0,,,51,52428,0,172959972,0,172959972,7,0.0,88.27150216315286
119,Empresa,Retail,2.0,,,32,30336,96,186172032,251712,186423744,11,25291382.715372737,81.5695033992402
120,Persona,,,52.0,Femenino,15,15,45,61110,81945,143055,1,0.0,98.32450030902184
121,Persona,,,31.0,Femenino,3,6,6,57732,19728,77460,1,0.0,98.32450030902184
122,Persona,,,20.0,Femenino,1,0,5,0,8425,8425,1,0.0,98.32450030902184
123,Persona,,,27.0,Femenino,3,0,0,0,0,0,3,0.0,94.97350092706552
124,Persona,,,25.0,Femenino,14,28,14,239092,61992,301084,12,0.0,79.89400370826203
125,Persona,,,37.0,Masculino,12,0,24,0,43944,43944,8,0.0,86.59600247217469
126,Persona,,,59.0,Femenino,3,9,6,38016,25716,63732,2,0.0,96.64900061804367
127,Empresa,Retail,13.0,,,44,41536,0,86353344,0,86353344,5,0.0,91.62250154510919
128,Persona,,,73.0,Masculino,18,36,0,230292,0,230292,8,0.0,86.59600247217469
129,Persona,,,76.0,Masculino,10,0,10,0,17010,17010,6,0.0,89.94700185413102
130,Empresa,Retail,18.0,,,44,43120,0,276830400,0,276830400,1,0.0,98.32450030902184
131,Persona,,,58.0,Femenino,18,18,0,102510,0,102510,4,0.0,93.29800123608734
132,Empresa,Retail,15.0,,,12,11628,24,26093232,87072,26180304,4,0.0,93.29800123608734
133,Persona,,,53.0,Masculino,18,0,0,0,0,0,10,0.0,83.24500309021836
134,Persona,,,18.0,Masculino,18,0,0,0,0,0,1,0.0,98.32450030902184
135,Persona,,,36.0,Masculino,3,0,9,0,27423,27423,3,0.0,94.97350092706552
136,Persona,,,74.0,Femenino,13,13,13,81718,32734,114452,9,0.0,84.92050278119653
137,Persona,,,71.0,Masculino,24,48,0,284064,0,284064,5,0.0,91.62250154510919
138,Persona,,,36.0,Femenino,4,4,8,8232,29424,37656,1,0.0,98.32450030902184
139,Empresa,Retail,43.0,,,47,47611,0,433974265,0,433974265,5,0.0,91.62250154510919
140,Persona,,,65.0,Masculino,17,51,34,499443,124814,624257,10,0.0,83.24500309021836
141,Persona,,,53.0,Masculino,1,3,0,17829,0,17829,1,0.0,98.32450030902184
142,Empresa,Manufactura,38.0,,,21,20244,21,79477944,62013,79539957,10,0.0,83.24500309021836
143,Persona,,,48.0,Masculino,23,0,0,0,0,0,3,0.0,94.97350092706552
144,Persona,,,55.0,Masculino,13,26,0,187096,0,187096,4,0.0,93.29800123608734
145,Empresa,Manufactura,21.0,,,43,42312,43,389439648,97997,389537645,3,0.0,94.97350092706552
146,Persona,,,71.0,Femenino,14,0,14,0,41664,41664,7,0.0,88.27150216315286
147,Persona,,,44.0,Femenino,16,16,16,124416,60480,184896,7,0.0,88.27150216315286
148,Persona,,,40.0,Femenino,14,0,14,0,39676,39676,9,0.0,84.92050278119653
149,Persona,,,36.0,Masculino,18,0,54,0,176040,176040,6,0.0,89.94700185413102
150,Empresa,Retail,47.0,,,50,49300,0,447841200,0,447841200,8,0.0,86.59600247217469
151,Persona,,,64.0,Femenino,3,3,3,9036,11484,20520,2,0.0,96.64900061804367
152,Persona,,,60.0,Femenino,21,21,0,125979,0,125979,2,0.0,96.64900061804367
153,Persona,,,66.0,Masculino,24,24,24,73440,84168,157608,11,0.0,81.5695033992402
154,Persona,,,77.0,Femenino,7,7,0,65562,0,65562,6,0.0,89.94700185413102
155,Persona,,,45.0,Femenino,14,14,0,106498,0,106498,4,0.0,93.29800123608734
156,Persona,,,21.0,Femenino,9,0,0,0,0,0,1,0.0,98.32450030902184
157,Persona,,,54.0,Masculino,22,22,0,202818,0,202818,4,0.0,93.29800123608734
158,Persona,,,61.0,Femenino,6,12,0,43620,0,43620,6,0.0,89.94700185413102
159,Persona,,,43.0,Femenino,21,21,21,156912,53025,209937,6,0.0,89.94700185413102
160,Persona,,,65.0,Femenino,20,20,20,140160,70820,210980,2,0.0,96.64900061804367
161,Persona,,,20.0,Masculino,7,7,14,67599,54026,121625,6,0.0,89.94700185413102
162,Persona,,,26.0,Femenino,9,18,9,178344,17514,195858,8,0.0,86.59600247217469
163,Empresa,Manufactura,34.0,,,29,29290,0,292607100,0,292607100,1,0.0,98.32450030902184
164,Persona,,,49.0,Masculino,11,11,11,47168,28897,76065,6,0.0,89.94700185413102
165,Persona,,,39.0,Masculino,15,15,0,58260,0,58260,12,0.0,79.89400370826203
166,Persona,,,43.0,Femenino,18,0,0,0,0,0,8,0.0,86.59600247217469
167,Persona,,,59.0,Masculino,13,39,13,249405,24843,274248,10,0.0,83.24500309021836
168,Persona,,,27.0,Femenino,10,10,10,50270,23740,74010,3,0.0,94.97350092706552
169,Persona,,,58.0,Masculino,8,8,8,17456,16808,34264,2,0.0,96.64900061804367
170,Persona,,,35.0,Masculino,6,0,6,0,17466,17466,1,0.0,98.32450030902184
171,Persona,,,41.0,Masculino,10,0,0,0,0,0,3,0.0,94.97350092706552
172,Persona,,,34.0,Femenino,11,11,0,57365,0,57365,6,0.0,89.94700185413102
173,Persona,,,23.0,Masculino,18,0,18,0,75816,75816,12,0.0,79.89400370826203
174,Empresa,Retail,37.0,,,26,27222,0,125983416,0,125983416,9,0.0,84.92050278119653
175,Empresa,Retail,42.0,,,42,42588,42,185811444,151326,185962770,2,0.0,96.64900061804367
176,Persona,,,59.0,Femenino,6,12,0,85728,0,85728,1,0.0,98.32450030902184
177,Persona,,,21.0,Masculino,17,34,0,285430,0,285430,11,0.0,81.5695033992402
178,Empresa,Educación,8.0,,,35,11585,6230,63763840,24789170,88553010,3,9322946.372191928,94.97350092706552
179,Persona,,,78.0,Femenino,5,0,5,0,9685,9685,4,0.0,93.29800123608734
180,Persona,,,48.0,Femenino,13,39,0,306228,0,306228,12,0.0,79.89400370826203
181,Empresa,Manufactura,32.0,,,35,34125,35,222051375,98175,222149550,8,0.0,86.59600247217469
182,Persona,,,41.0,Femenino,8,8,16,61464,49168,110632,2,0.0,96.64900061804367
183,Persona,,,54.0,Masculino,2,0,2,0,7888,7888,1,0.0,98.32450030902184
184,Persona,,,38.0,Masculino,3,3,3,6795,13047,19842,1,0.0,98.32450030902184
185,Persona,,,32.0,Femenino,6,6,12,23286,46236,69522,5,0.0,91.62250154510919
186,Persona,,,44.0,Femenino,24,48,48,453936,205536,659472,8,0.0,86.59600247217469
187,Persona,,,74.0,Femenino,2,4,6,27680,24360,52040,1,0.0,98.32450030902184
188,Empresa,Servicios Financieros,49.0,,,18,5886,3132,37022940,6990624,44013564,6,0.0,89.94700185413102
189,Persona,,,40.0,Femenino,20,40,40,223520,137640,361160,2,0.0,96.64900061804367
190,Persona,,,71.0,Masculino,8,16,8,34272,15200,49472,4,0.0,93.29800123608734
191,Persona,,,64.0,Femenino,11,22,22,120692,58256,178948,3,0.0,94.97350092706552
192,Persona,,,73.0,Femenino,1,2,1,15398,4117,19515,1,0.0,98.32450030902184
193,Persona,,,72.0,Masculino,18,18,18,135522,73026,208548,7,0.0,88.27150216315286
194,Persona,,,26.0,Masculino,7,7,21,58002,51114,109116,6,0.0,89.94700185413102
195,Persona,,,53.0,Femenino,3,0,3,0,8475,8475,2,0.0,96.64900061804367
196,Persona,,,33.0,Femenino,2,2,4,4014,15188,19202,1,0.0,98.32450030902184
197,Persona,,,37.0,Femenino,6,0,18,0,39168,39168,1,0.0,98.32450030902184
198,Persona,,,70.0,Masculino,4,4,4,12984,12552,25536,3,0.0,94.97350092706552
199,Persona,,,55.0,Femenino,10,0,10,0,21700,21700,2,0.0,96.64900061804367
200,Persona,,,58.0,Femenino,22,22,22,91542,60764,152306,6,0.0,89.94700185413102
201,Persona,,,41.0,Masculino,4,0,0,0,0,0,3,0.0,94.97350092706552
202,Persona,,,61.0,Masculino,6,6,18,58368,28908,87276,2,0.0,96.64900061804367
203,Persona,,,25.0,Femenino,16,32,16,229088,65632,294720,2,0.0,96.64900061804367
204,Persona,,,72.0,Masculino,23,46,0,137126,0,137126,4,0.0,93.29800123608734
205,Persona,,,20.0,Femenino,13,0,0,0,0,0,10,0.0,83.24500309021836
206,Persona,,,32.0,Femenino,2,0,2,0,3490,3490,1,0.0,98.32450030902184
207,Persona,,,51.0,Masculino,3,3,12,10425,32880,43305,2,0.0,96.64900061804367
208,Persona,,,76.0,Femenino,23,0,69,0,161391,161391,5,0.0,91.62250154510919
209,Persona,,,62.0,Femenino,7,7,7,34685,26068,60753,7,0.0,88.27150216315286
210,Persona,,,65.0,Masculino,21,0,21,0,57057,57057,3,0.0,94.97350092706552
211,Empresa,Retail,9.0,,,18,17622,36,76356126,137160,76493286,3,20830893.162748,94.97350092706552
212,Empresa,Retail,47.0,,,30,30630,60,107143740,251460,107395200,5,0.0,91.62250154510919
213,Persona,,,45.0,Masculino,17,0,34,0,137836,137836,9,0.0,84.92050278119653
214,Persona,,,27.0,Masculino,5,10,15,27030,26685,53715,2,0.0,96.64900061804367
215,Persona,,,50.0,Femenino,3,0,0,0,0,0,3,0.0,94.97350092706552
216,Persona,,,70.0,Masculino,18,54,0,535572,0,535572,8,0.0,86.59600247217469
217,Empresa,Retail,42.0,,,57,59850,57,336895650,154299,337049949,4,0.0,93.29800123608734
218,Persona,,,36.0,Masculino,2,0,2,0,8870,8870,2,0.0,96.64900061804367
219,Persona,,,65.0,Femenino,4,8,8,27256,20800,48056,4,0.0,93.29800123608734
220,Empresa,Retail,36.0,,,27,27459,27,155335563,52515,155388078,4,0.0,93.29800123608734
221,Persona,,,52.0,Femenino,17,0,17,0,64481,64481,1,0.0,98.32450030902184
222,Persona,,,49.0,Femenino,6,6,0,19314,0,19314,6,0.0,89.94700185413102
223,Persona,,,58.0,Femenino,3,0,0,0,0,0,1,0.0,98.32450030902184
224,Persona,,,77.0,Masculino,17,0,34,0,103462,103462,6,0.0,89.94700185413102
225,Persona,,,41.0,Femenino,16,16,32,72800,93152,165952,2,0.0,96.64900061804367
226,Persona,,,22.0,Femenino,17,0,0,0,0,0,2,0.0,96.64900061804367
227,Persona,,,59.0,Femenino,6,0,0,0,0,0,1,0.0,98.32450030902184
228,Persona,,,20.0,Masculino,17,0,17,0,39729,39729,7,0.0,88.27150216315286
229,Persona,,,35.0,Masculino,15,0,0,0,0,0,11,0.0,81.5695033992402
230,Persona,,,74.0,Masculino,18,0,0,0,0,0,5,0.0,91.62250154510919
231,Empresa,Manufactura,8.0,,,29,29638,29,200501070,89378,200590448,5,24320171.918725632,91.62250154510919
232,Persona,,,71.0,Femenino,11,11,22,108526,56408,164934,1,0.0,98.32450030902184
233,Persona,,,38.0,Masculino,11,0,22,0,56672,56672,7,0.0,88.27150216315286
234,Persona,,,63.0,Masculino,15,0,0,0,0,0,10,0.0,83.24500309021836
235,Persona,,,50.0,Masculino,7,0,0,0,0,0,3,0.0,94.97350092706552
236,Empresa,Educación,50.0,,,38,13870,7448,43010870,32905264,75916134,6,0.0,89.94700185413102
237,Persona,,,21.0,Masculino,15,15,0,127290,0,127290,11,0.0,81.5695033992402
238,Persona,,,72.0,Femenino,7,7,7,30611,13776,44387,3,0.0,94.97350092706552
239,Persona,,,38.0,Masculino,13,13,13,81978,57915,139893,3,0.0,94.97350092706552
240,Empresa,Manufactura,39.0,,,25,23975,0,186597425,0,186597425,1,0.0,98.32450030902184
241,Empresa,Manufactura,8.0,,,30,31200,0,115564800,0,115564800,12,23892639.24883799,79.89400370826203
242,Persona,,,63.0,Masculino,22,22,0,167794,0,167794,9,0.0,84.92050278119653
243,Persona,,,60.0,Masculino,4,8,4,46144,16280,62424,1,0.0,98.32450030902184
244,Persona,,,47.0,Masculino,10,10,0,89130,0,89130,9,0.0,84.92050278119653
245,Persona,,,61.0,Femenino,17,17,17,75004,73338,148342,10,0.0,83.24500309021836
246,Persona,,,22.0,Masculino,23,23,0,98555,0,98555,9,0.0,84.92050278119653
247,Empresa,Manufactura,7.0,,,25,25675,25,235311375,78450,235389825,12,19423173.79699959,79.89400370826203
248,Persona,,,68.0,Femenino,8,8,0,34920,0,34920,6,0.0,89.94700185413102
249,Empresa,Tecnología,33.0,,,50,17700,10150,36054900,32358200,68413100,10,0.0,83.24500309021836
250,Persona,,,38.0,Femenino,4,0,0,0,0,0,3,0.0,94.97350092706552
251,Persona,,,24.0,Masculino,4,0,12,0,20232,20232,1,0.0,98.32450030902184
252,Persona,,,52.0,Masculino,19,19,38,176339,66766,243105,2,0.0,96.64900061804367
253,Empresa,Retail,7.0,,,25,26000,75,60372000,198675,60570675,1,3219266.1891810223,98.32450030902184
254,Persona,,,18.0,Femenino,3,0,9,0,26892,26892,2,0.0,96.64900061804367
255,Persona,,,67.0,Femenino,18,0,0,0,0,0,8,0.0,86.59600247217469
256,Persona,,,25.0,Masculino,13,0,0,0,0,0,7,0.0,88.27150216315286
257,Persona,,,44.0,Femenino,8,8,8,26352,15560,41912,1,0.0,98.32450030902184
258,Persona,,,46.0,Masculino,12,0,12,0,21612,21612,12,0.0,79.89400370826203
259,Persona,,,42.0,Masculino,14,14,42,46312,122682,168994,6,0.0,89.94700185413102
260,Persona,,,40.0,Femenino,3,0,3,0,6750,6750,1,0.0,98.32450030902184
261,Empresa,Retail,37.0,,,60,60120,0,147594600,0,147594600,1,0.0,98.32450030902184
262,Persona,,,37.0,Masculino,3,3,0,6615,0,6615,1,0.0,98.32450030902184
263,Persona,,,55.0,Femenino,2,0,4,0,7100,7100,2,0.0,96.64900061804367
264,Persona,,,72.0,Masculino,6,12,18,79056,72918,151974,5,0.0,91.62250154510919
265,Empresa,Tecnología,20.0,,,29,10324,4901,95063392,19574594,114637986,7,0.0,88.27150216315286
266,Persona,,,27.0,Femenino,5,15,5,54405,21120,75525,2,0.0,96.64900061804367
267,Persona,,,39.0,Femenino,6,0,6,0,9738,9738,3,0.0,94.97350092706552
268,Persona,,,64.0,Masculino,8,8,0,22128,0,22128,7,0.0,88.27150216315286
269,Persona,,,30.0,Masculino,4,0,8,0,19768,19768,4,0.0,93.29800123608734
270,Persona,,,68.0,Masculino,7,0,7,0,25557,25557,6,0.0,89.94700185413102
271,Persona,,,47.0,Masculino,5,10,10,94200,15530,109730,3,0.0,94.97350092706552
272,Persona,,,53.0,Masculino,17,0,17,0,45713,45713,5,0.0,91.62250154510919
273,Persona,,,27.0,Masculino,19,0,0,0,0,0,11,0.0,81.5695033992402
274,Persona,,,76.0,Masculino,5,5,0,35040,0,35040,2,0.0,96.64900061804367
275,Persona,,,31.0,Femenino,7,0,0,0,0,0,5,0.0,91.62250154510919
276,Empresa,Manufactura,10.0,,,42,42714,42,269781624,116550,269898174,2,48761396.30097561,96.64900061804367
277,Persona,,,21.0,Femenino,20,0,0,0,0,0,2,0.0,96.64900061804367
278,Persona,,,72.0,Masculino,6,6,6,59286,24198,83484,2,0.0,96.64900061804367
279,Persona,,,52.0,Femenino,22,0,22,0,39358,39358,11,0.0,81.5695033992402
280,Empresa,Retail,3.0,,,53,51198,0,429090438,0,429090438,2,116000902.9472423,96.64900061804367
281,Persona,,,28.0,Femenino,1,1,0,8602,0,8602,1,0.0,98.32450030902184
282,Empresa,Retail,42.0,,,40,38200,40,344258400,104480,344362880,12,0.0,79.89400370826203
283,Persona,,,29.0,Femenino,12,0,24,0,54000,54000,11,0.0,81.5695033992402
284,Empresa,Retail,21.0,,,39,40482,117,371341386,360009,371701395,5,0.0,91.62250154510919
285,Persona,,,58.0,Femenino,19,19,38,67279,71706,138985,12,0.0,79.89400370826203
286,Empresa,Retail,7.0,,,32,32640,0,201192960,0,201192960,8,22458889.848107766,86.59600247217469
287,Empresa,Retail,18.0,,,27,26730,0,240115590,0,240115590,1,0.0,98.32450030902184
288,Persona,,,27.0,Femenino,12,48,12,396672,43344,440016,2,0.0,96.64900061804367
289,Persona,,,35.0,Masculino,13,0,0,0,0,0,7,0.0,88.27150216315286
290,Persona,,,34.0,Masculino,14,0,14,0,38514,38514,8,0.0,86.59600247217469
291,Persona,,,69.0,Masculino,23,0,46,0,122774,122774,1,0.0,98.32450030902184
292,Persona,,,73.0,Masculino,10,10,0,74140,0,74140,7,0.0,88.27150216315286
293,Persona,,,55.0,Femenino,24,0,144,0,293472,293472,2,0.0,96.64900061804367
294,Empresa,Retail,29.0,,,54,52542,0,471039030,0,471039030,7,0.0,88.27150216315286
295,Persona,,,26.0,Masculino,17,17,34,131121,106046,237167,7,0.0,88.27150216315286
296,Persona,,,35.0,Femenino,23,23,46,197547,150696,348243,4,0.0,93.29800123608734
297,Persona,,,61.0,Femenino,20,0,20,0,53940,53940,5,0.0,91.62250154510919
298,Persona,,,51.0,Masculino,10,10,20,95670,74160,169830,9,0.0,84.92050278119653
